stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,15
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,36.12,0,1.64,0,0,0.82,33.66
 36-46,0,0.81,0,1.61,0,0.81,0,0,0,0.81,0,0.81,0,0,96.68,0.81,0,0,0,0,58.81
 48-58,0,0,0,14.35,0,1.72,0,0,0,0,0,2.3,0,0,103.86,0,0.57,0,0,0,51.64
 60-70,0,0,0,87.36,0,3.93,0,0,0,0,0,1.96,0,0,187.47,0,0,0,0.98,0,48.09
 72-82,0.98,0.98,0,158.05,0,9.82,0,0,0,0,0,2.94,0,1.96,239.53,0,0,0,0,0,36.32
 84-94,0,2.12,0,110.45,0,14.87,0,0,1.06,0,0,1.06,1.06,0,108.33,0,0,0,0,0,25.49
 96-106,1.09,0,0,115.84,0,6.56,1.09,1.09,0,0,0,4.37,0,0,115.84,0,1.09,0,0,0,6.56
108-118,0,1.53,0.77,55.15,0,3.06,0,0,0,0,0,4.6,0,0,121.79,0.77,0.77,0.77,0,0,4.6
120,0,0,0,21.56,1.96,5.88,0,0,0,0,1.96,3.92,0,0,125.43,0,0,0,0,0,1.96
