stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,2,1,0,0,0,0,2,0,0,0,0,0,3,0,11,1,0,1,0,1,0,5,1,1,1,3,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0.82,2.46,0,14.78,0,0,0,0,1.64,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0.81,1.61,0.81,10.47,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,2.87,0.57,1.15,0,0,0,0,0,0.57,0,0,3.44,0.57,6.31,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,12.76,0,2.94,0,0,0.98,0,0,0,0,0,12.76,0,9.82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,13.74,0,0.98,0,0,1.96,0,0,0,0,0,4.91,0,12.76,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,3.19,0,2.12,0,0,0,1.06,0,4.25,0,0,5.31,0,6.37,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,10.93,0,1.09,0,0,1.09,1.09,0,0,1.09,0,6.56,0,8.74,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.06,0,0.77,0,0,1.53,0,0,0,0.77,0,3.83,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0
