stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,76.23,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,754.44,26.29,0,0,134.06,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,248.61,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,1542.01,53.5,0,0,188.82,0,0,9.44,0,12.59,0,0,0,0
 14-21,0,0,7,15,27,9,1,0,97,19,1,0,0,0,1,0,0,11,0,0,3,770,11,0,1,14,0,1,2,7,800,0,0,0,0
 24-34,0,0,4.93,0.82,4.1,0,5.75,0.82,52.53,1.64,0.82,0,0,0,0.82,0,0.82,2.46,0,0,6.57,632.06,27.09,0,0,0,0.82,0,0,1.64,484.31,0,0,3.28,0
 36-46,0,0,4.83,0,0.81,0,2.42,0,30.62,1.61,0,0,0,0,1.61,0,0,8.06,0.81,0,0,364.16,14.5,0,0,0,0,0,0,0,306.96,0,0,0,0
 48-58,0.57,0,1.72,0,1.72,0.57,10.33,0,47.05,0.57,0,0,0.57,0,2.87,0,0,9.18,0,0.57,0.57,234.69,8.03,0,0,0,0.57,0,0,0,215.75,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,14.72,0,53.98,1.96,0,0,0,0,5.89,0,0,1.96,0,0,0,146.25,3.93,0,0.98,0,0,0,0,0,143.3,0,0.98,0.98,0
 72-82,0,0,2.94,0,0.98,0,14.72,0,90.31,3.93,0,0,0,0,9.82,0,0.98,8.83,0,0,0,97.18,3.93,0,0.98,0,1.96,0,0,0,85.4,0,0,0,0
 84-94,0,0,2.12,4.25,7.43,0,21.24,0,60.54,10.62,0,1.06,0,0,23.36,0,0,4.25,0,1.06,2.12,45.67,7.43,0,0,0,0,0,0,0,40.36,0,1.06,0,0
 96-106,0,0,3.28,3.28,3.28,1.09,13.11,1.09,62.29,9.84,0,0,0,0,12.02,1.09,0,2.19,0,0,0,59.01,3.28,1.09,0,0,1.09,0,0,0,22.95,0,0,0,0
108-118,0,0,3.83,2.3,0.77,0.77,2.3,0,71.23,4.6,0,0,0,0.77,19.15,0,0,2.3,0,0,0.77,52.09,2.3,0,0,0,0,0,0,0,18.38,0.77,0,0,0.77
120,0,0,0,0,1.96,0,7.84,0,62.71,1.96,0,0,1.96,0,13.72,0,0,0,0,0,1.96,62.71,0,0,0,0,0,0,0,0,21.56,0,0,0,0
