stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,90,0,0,0,0,0,0,2,1,0,2,9,80,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,4.1,0,6.57,342.3,0,3.28,0,0,0,0.82,0,0,0,0,8.21,124.77,0,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,0,4.03,0,0,0,7.25,0,0,0,0,0,0,0,1.61,0,4.03,712.21,0.81,8.86,0.81,0,0,1.61,0.81,0,0,0,0,149.85,0,0,2.42,0,0
 48-58,0,0,0.57,0,2.3,0.57,0,30.99,0,0.57,1.15,9.18,0,0,0.57,0,0,0,0,12.62,0,2.87,764.88,0,5.16,1.15,0,0,0.57,0,0,0,0,0,127.38,0,0,2.3,0,2.3
 60-70,0,0,0,0,1.96,0,0,91.28,0,0.98,0.98,24.54,0.98,0,0,0,0,0,0,12.76,0.98,1.96,953.06,0,4.91,0,0,0.98,0,0,0,0,0,0,136.43,0,0.98,4.91,0,0.98
 72-82,0,0,2.94,0,5.89,0.98,0,160.99,0,0,1.96,37.3,1.96,0,0.98,0,0.98,0.98,0,24.54,0,1.96,832.45,0,2.94,3.93,0,0,0.98,0,0,0.98,0,0,86.39,0.98,0,7.85,0,1.96
 84-94,0,0,0,0,6.37,0,1.06,104.08,0,0,0,27.61,4.25,0,0,0,2.12,0,0,13.81,1.06,1.06,401.45,1.06,0,3.19,0,0,1.06,0,0,0,0,0,36.11,4.25,0,11.68,2.12,1.06
 96-106,0,0,1.09,0,9.84,2.19,0,74.31,0,0,1.09,17.49,2.19,0,0,1.09,0,0,1.09,13.11,1.09,1.09,343.15,0,9.84,9.84,0,1.09,1.09,0,0,0,0,0,19.67,2.19,0,18.58,0,1.09
108-118,0,0,3.83,0,9.19,0.77,0,45.96,0,0.77,0,26.04,2.3,0,0,0,0,0.77,0,10.72,0,1.53,438.9,0,3.83,3.06,0,0.77,1.53,0,0,0,0,0,25.28,4.6,0.77,11.49,0.77,0
120,0,0,0,0,5.88,0,0,35.28,0,0,1.96,19.6,1.96,0,1.96,0,0,0,0,7.84,0,0,468.39,0,1.96,0,0,0,0,0,0,0,0,0,15.68,0,0,11.76,1.96,0
