stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,2451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,7.89,0,5.26,0,0,0,57.83,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,346.99,26.29,0,0,84.12,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,37.76,0,0,0,88.12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,704.92,25.18,0,0,147.91,0,0,3.15,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,11,54,14,0,17,0,0,0,13,9,0,2,0,1,0,1,0,1,23,0,16,205,10,1,5,4,0,0,26,9,1,19,62,0,0,22,0,0
 24-34,0,0,0,6.57,13.95,4.93,0,45.97,0,1.64,0,7.39,6.57,0,4.93,0,3.28,0,0.82,3.28,0,51.71,0,20.52,210.14,4.93,0.82,3.28,0,0,1.64,0.82,2.46,1.64,0,45.97,0,0,112.46,0,0.82
 36-46,0,0,0,4.03,5.64,0,0,65.26,0,0.81,1.61,13.7,6.45,0,5.64,0,0.81,1.61,0,1.61,0,60.43,1.61,8.86,161.94,3.22,0,3.22,0,0.81,0,0.81,1.61,0,0,40.28,0,0,77.34,0,4.03
 48-58,0,0,0,0,2.87,0,0,47.05,0,0.57,1.15,12.05,13.77,0,5.16,0,0,1.15,0.57,0.57,0,60.82,4.02,9.18,67.71,2.87,0,2.3,0,0,1.15,0,0.57,0,0,15.49,0,0,81.48,0.57,6.89
 60-70,0,0,0.98,0,0.98,0,0,51.04,0,3.93,0.98,24.54,30.43,0,5.89,0.98,0,0.98,0,1.96,0,53.98,0.98,12.76,48.09,4.91,1.96,5.89,0,0,0.98,0,1.96,0,0,12.76,0,1.96,55.95,1.96,13.74
 72-82,0,0,0.98,0.98,6.87,0,0,34.36,0,0,5.89,38.28,53.01,0,13.74,0.98,0,1.96,0,0,0,88.35,4.91,12.76,78.53,2.94,1.96,5.89,0,0,2.94,0,0,0,0,16.69,0.98,2.94,121.73,2.94,9.82
 84-94,0,0,0,0,7.43,1.06,0,36.11,1.06,0,4.25,23.36,90.27,0,11.68,0,0,0,1.06,1.06,0,57.35,7.43,7.43,53.1,3.19,1.06,7.43,0,1.06,6.37,0,3.19,0,0,4.25,0,3.19,74.34,0,8.5
 96-106,0,0,3.28,0,8.74,2.19,0,37.16,0,3.28,0,20.76,93.98,0,17.49,1.09,1.09,5.46,1.09,2.19,1.09,53.55,1.09,9.84,57.92,3.28,4.37,15.3,0,0,2.19,0,0,0,0,1.09,0,3.28,115.84,3.28,15.3
108-118,0,0,0.77,0,10.72,0.77,0.77,36,0,6.13,1.53,19.15,92.68,0,5.36,0,1.53,6.89,0,1.53,1.53,45.19,0.77,6.89,42.89,6.89,0,17.62,0,0.77,1.53,0,0.77,0,0,3.06,0.77,3.06,88.85,2.3,13.79
120,1.96,0,0,1.96,11.76,1.96,0,15.68,0,5.88,0,21.56,96.03,0,7.84,1.96,1.96,7.84,0,1.96,0,43.12,1.96,7.84,52.91,1.96,0,13.72,0,0,3.92,0,0,0,0,0,1.96,1.96,97.99,3.92,9.8
