stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,37,10,0,9,0,1,0,2,0,0,0,0,10,0,0,1,0,17,1,0,9,86,6,1,2,0,14,0,16,1,1,15,25,0,0,3,0,1
 24-34,0,4.1,29.55,0,0,18.06,1.64,3.28,0,2.46,0,0,3.28,1.64,13.13,0,2.46,0,0.82,25.45,6.57,0,13.95,195.36,3.28,4.93,2.46,0,31.19,0,0.82,3.28,0.82,6.57,69.77,0,0,14.78,0,1.64
 36-46,0,0,36.26,0,0,20.95,6.45,6.45,1.61,17.72,0,0,0.81,3.22,10.47,0,2.42,0,0.81,37.87,11.28,0,8.06,149.05,4.03,2.42,1.61,0,48.34,0.81,0,5.64,1.61,0,45.92,0,0,11.28,0,0.81
 48-58,0.57,0,28.12,0.57,0,23.53,5.16,11.48,2.3,18.36,1.15,19.51,4.02,3.44,2.87,0,0.57,0.57,0.57,37.87,13.2,1.72,8.61,57.38,1.15,1.15,2.87,0.57,26.4,0,0,10.33,2.87,0,17.79,0,0,8.61,0,3.44
 60-70,0,0,53.98,1.96,0,29.45,11.78,26.5,0,17.67,0.98,2.94,1.96,3.93,2.94,0.98,3.93,0,0,51.04,13.74,2.94,2.94,30.43,2.94,0.98,1.96,0,37.3,0,0,11.78,7.85,0,10.8,0,0,5.89,0,3.93
 72-82,4.91,0,76.57,4.91,0,30.43,3.93,22.58,0.98,49.08,12.76,4.91,3.93,15.71,4.91,1.96,6.87,2.94,0,102.09,16.69,1.96,1.96,47.12,0.98,2.94,3.93,0.98,65.77,0,0,22.58,0,0,9.82,2.94,1.96,26.5,1.96,3.93
 84-94,2.12,1.06,149.75,3.19,1.06,36.11,5.31,79.65,5.31,28.68,30.8,11.68,0,23.36,8.5,1.06,3.19,1.06,4.25,59.47,22.3,3.19,7.43,33.99,4.25,2.12,8.5,1.06,224.09,0,0,63.72,5.31,0,3.19,2.12,2.12,7.43,0,5.31
 96-106,4.37,0,207.64,9.84,1.09,73.22,9.84,79.78,5.46,26.23,46.99,0,6.56,39.34,13.11,6.56,7.65,5.46,2.19,71.04,29.51,5.46,6.56,51.36,1.09,3.28,6.56,2.19,213.11,0,0,44.81,8.74,0,3.28,9.84,2.19,21.86,2.19,4.37
108-118,3.06,0.77,330.13,1.53,4.6,83.49,12.26,134.04,6.89,32.17,60.51,0,0.77,26.04,14.55,8.43,2.3,6.89,4.6,44.43,21.45,2.3,13.79,35.23,4.6,4.6,7.66,0,196.85,0,0,65.87,6.13,0,3.06,12.26,2.3,14.55,3.06,3.83
120,3.92,0,391.96,1.96,0,47.03,9.8,97.99,1.96,47.03,88.19,0,3.92,39.2,19.6,7.84,5.88,5.88,0,74.47,11.76,1.96,9.8,50.95,7.84,5.88,5.88,0,229.29,0,0,48.99,9.8,0,3.92,1.96,1.96,25.48,3.92,5.88
