stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,521.02,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,0,15.77,0,0,0,65.72,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,339.1,21.03,0,0,149.84,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,28.32,0,0,0,53.5,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,525.54,12.59,0,0,198.26,0,6.29,0,25.18,0,12.59,0,0,0,0,0
 14-21,0,0,0,2,17,7,0,4,0,0,0,0,1,1,1,0,1,0,0,0,0,6,0,1,86,0,2,1,2,2,0,14,0,1,21,23,0,0,0,0
 24-34,0,0,0,0.82,2.46,0.82,0,13.13,0,0,0,7.39,0,1.64,0.82,0,0.82,0,0,0.82,0.82,5.75,0,2.46,105.89,0,1.64,0.82,0,3.28,0,0,0,0,3.28,22.98,0,2.46,0,2.46
 36-46,0,0,0,0,0.81,0,0,33.84,0.81,0,0,8.86,0.81,0,0,0,0.81,0,0,0.81,0.81,9.67,0.81,2.42,179.66,0,2.42,0,0,6.45,0,0,0.81,0,0,29,0,1.61,0,3.22
 48-58,0,0,0,0,1.15,0,0,50.49,1.15,0,1.15,15.49,0,0,0.57,0.57,0,1.72,0,0,2.3,27.54,3.44,2.87,169.27,0.57,1.15,2.87,0,1.15,0,0,0,0,0,32.71,0,1.72,0,4.02
 60-70,0,0,0.98,0,2.94,0,0,84.41,0,0,0,11.78,1.96,0,0,0,0,1.96,0,0,0.98,35.33,0.98,3.93,159.99,0,0.98,0.98,0,5.89,0,0,0.98,0,0,23.56,0,0.98,0.98,0
 72-82,0,0,0.98,0,2.94,0,0,67.73,0,0.98,0.98,14.72,1.96,0,0.98,2.94,0.98,0,0,0,0,32.39,1.96,0.98,99.15,0,3.93,1.96,0,1.96,0,0,0.98,0,0,7.85,0.98,3.93,1.96,0
 84-94,0,0,1.06,0,5.31,0,2.12,31.86,0,0,3.19,5.31,2.12,0,0,4.25,1.06,1.06,1.06,0,1.06,14.87,0,4.25,53.1,2.12,0,1.06,0,6.37,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,5.46,1.09,1.09,20.76,1.09,0,0,7.65,1.09,0,1.09,3.28,1.09,0,0,0,0,15.3,0,2.19,38.25,0,0,1.09,0,8.74,0,0,1.09,0,0,3.28,0,2.19,3.28,1.09
108-118,0,0,0,0,2.3,0,1.53,7.66,0,0,0,2.3,0,0,0.77,1.53,0,1.53,0,0,0,5.36,0,0.77,30.64,0,1.53,0,0,3.83,0,0,0.77,0,0,1.53,0,0.77,0,0
120,0,0,0,0,3.92,1.96,0,5.88,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,1.96,35.28,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
