stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,3,6,0,0
 24-34,0,2.46,0,0,0,1.64,0,0,0,0,0,0.82,1.64,9.85,0,0,0.82,0,1.64,4.1,0,0
 36-46,0,0,0,2.42,0.81,1.61,0,0,1.61,0,0,0.81,0.81,5.64,0.81,0,4.03,1.61,0,4.03,0,0.81
 48-58,0,0,0,0.57,0.57,1.72,0.57,0,0,0,0,0.57,0.57,10.9,0,0.57,0,0,0,1.72,0,0
 60-70,0,0,0,3.93,0,0,0.98,0,0,0,0,3.93,0,6.87,0,1.96,0.98,0.98,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,2.94,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,1.06,4.25,0,2.12,1.06,0,0,0,0,2.12,0,2.12,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,4.37,0,1.09,0,1.09,1.09,3.28,2.19,6.56,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0.77,0.77,0.77,0,0,0,0,2.3,1.53,0.77,0,1.53,2.3,0,0,0,0
120,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
