stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,1,1,3,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,3.28,0.82,9.85,0,0,0.82,0,0,0,0,2.46,0,0.82,0
 36-46,0,0.81,0,0,4.03,0.81,0,0,0,0.81,0.81,2.42,15.31,0,0,0,0,0,0,0,3.22,0,0.81,0.81
 48-58,0,0,0,0,4.02,1.72,0,0,0,0,1.15,0.57,13.77,0,0.57,0,0,0.57,0,0,2.87,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,1.96,0,20.61,0.98,2.94,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0,0.98,0,20.61,0,2.94,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,6.37,0,0,0,0,0,4.25,0,7.43,0,0,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,0,3.28,0,0,1.09,1.09,0,1.09,0,9.84,0,0,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,0.77,0,3.83,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,5.88,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
