stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,5,2,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,3,0,0,3,19,1,1,1,0,0,2,1,2,11,51,24,0,0,2,0,0
 24-34,1.64,0.82,5.75,2.46,0,7.39,3.28,2.46,0,4.1,0,0,0.82,1.64,1.64,0,0.82,0,2.46,5.75,0,0,10.67,133.8,2.46,10.67,2.46,0,0,3.28,0,5.75,2.46,15.6,42.68,0,0,6.57,0,0.82
 36-46,0,0,4.03,0.81,0,21.75,6.45,0,1.61,9.67,0,0.81,1.61,0.81,0.81,0.81,2.42,0.81,0.81,12.09,0,0,7.25,294.07,3.22,11.28,4.03,0,0,2.42,0,0.81,0.81,0.81,73.32,0,0,2.42,0,2.42
 48-58,1.15,0,4.59,0.57,0,59.68,12.62,0.57,4.02,30.99,0.57,0,1.15,0.57,0.57,0.57,0.57,0.57,0.57,41.31,1.72,0.57,9.18,305.84,0.57,4.59,2.3,0,0,4.59,0,1.15,2.3,0,58.53,0,0,4.02,0,2.3
 60-70,0.98,0,4.91,1.96,0,178.64,18.65,0,2.94,35.33,2.94,0.98,1.96,2.94,3.93,0.98,1.96,0.98,1.96,75.58,0.98,0.98,13.74,493.71,1.96,7.85,3.93,0,0.98,8.83,0,2.94,5.89,0,70.67,0,0.98,6.87,0.98,1.96
 72-82,0.98,0,8.83,13.74,0,251.31,14.72,1.96,1.96,68.72,0.98,0,3.93,6.87,0,0.98,3.93,0,0,113.87,0,2.94,7.85,428.99,0.98,15.71,11.78,0,3.93,6.87,0,1.96,3.93,0,34.36,0.98,1.96,18.65,5.89,0.98
 84-94,3.19,0,22.3,13.81,0,196.48,13.81,0,0,36.11,3.19,0,0,7.43,6.37,0,1.06,2.12,4.25,83.9,1.06,2.12,7.43,224.09,2.12,9.56,14.87,0,1.06,21.24,0,4.25,1.06,0,25.49,2.12,3.19,12.74,5.31,1.06
 96-106,1.09,0,10.93,16.39,0,146.44,13.11,4.37,2.19,30.6,7.65,0,1.09,8.74,1.09,1.09,6.56,2.19,3.28,79.78,5.46,4.37,4.37,218.57,0,15.3,9.84,1.09,2.19,19.67,0,5.46,4.37,0,20.76,1.09,1.09,17.49,3.28,1.09
108-118,0.77,0.77,15.32,8.43,5.36,115.66,15.32,1.53,1.53,44.43,7.66,0,1.53,11.49,6.13,4.6,4.6,3.06,1.53,58.98,1.53,3.83,11.49,217.53,1.53,6.13,9.19,0,3.06,10.72,0,4.6,5.36,0,6.13,2.3,0.77,13.79,4.6,2.3
120,1.96,0,17.64,7.84,1.96,96.03,11.76,0,3.92,41.16,5.88,0,1.96,9.8,7.84,1.96,9.8,1.96,0,50.95,0,3.92,9.8,288.09,3.92,9.8,9.8,0,7.84,9.8,0,7.84,3.92,0,5.88,1.96,5.88,11.76,1.96,0
