stage,blastomeres,erythrocytes,eye,glial,hatching.gland,iridophores,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  5-6,61.3,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0.81,0.81,0.81
 48-58,0,0,1.15,1.15,0,0,1.15,4.59,0.57,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0.98,9.82,0,0,0,2.94,0,0
 72-82,0,0,3.93,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,2.12,2.12,0,1.06,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0.77,1.53,0,0,0,0,3.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
