stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,1,0,0,0,0,0,1,16,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0.82,0,0,0,0,0,0,6.57,0,0,4.1,126.41,0,2.46,1.64,0,1.64,0.82,0.82,1.64,30.37,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,3.22,0,0,0,0,0,1.61,0,0,1.61,385.11,0,12.89,2.42,0,1.61,0.81,0,0,52.37,0,0.81,0,0
 48-58,0,0,1.72,0,29.84,1.15,1.15,6.89,0,0,0,0,0,0.57,0,0,1.15,416.58,0.57,4.02,2.3,0,2.87,0,0,0,59.1,0,0,0,0
 60-70,0,0.98,1.96,0,78.52,1.96,0,7.85,0,0.98,0,0,0,0,0,0,0.98,664.49,0,2.94,6.87,0,0,0,0,0,78.52,0,1.96,0.98,0
 72-82,0,0.98,4.91,0,78.53,0,0,16.69,0,0,0,0.98,0,5.89,0,0,0.98,471.2,0.98,7.85,6.87,0,0,0,0,0,37.3,0.98,1.96,0,0.98
 84-94,0,1.06,4.25,0,65.85,0,1.06,10.62,0,0,0,1.06,0,3.19,0,0,0,233.65,0,5.31,11.68,0,3.19,0,0,0,18.05,1.06,0,0,0
 96-106,0,1.09,3.28,0,49.18,0,1.09,5.46,0,0,1.09,1.09,1.09,9.84,1.09,0,0,191.25,0,13.11,20.76,0,0,0,0,0,9.84,0,0,0,0
108-118,0,0.77,0.77,0.77,35.23,0,0,6.89,0.77,0,0,1.53,0,3.83,0,0.77,0,166.98,0,6.13,8.43,0,1.53,0.77,0.77,0,7.66,0.77,0,0,0
120,0,1.96,3.92,0,41.16,0,0,3.92,0,0,0,3.92,0,1.96,0,1.96,0,152.86,0,11.76,11.76,0,0,0,0,0,1.96,0,1.96,0,0
