stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,heart,iridophores,mesenchyme,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,4.93,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0,0.81,0,1.61,0,1.61
 48-58,0,0,0,0,1.15,0,0,0.57,0.57,3.44,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,1.96,2.94
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,0,0,2.19,2.19,0,0,3.28,1.09,0,0,4.37,2.19
108-118,0,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0,0.77,4.6,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0
