stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,434.87,8117.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0,0,0
  5-6,331,7882.71,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,140.98,6.13,0,0,67.43,0,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,49.95,157.72,136.69,0,0,641.41,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,4752.71,78.86,0,0,1006.8,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,88.12,0,3.15,223.43,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1519.99,18.88,0,0,453.16,0,3.15,6.29,9.44,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,4,43,6,29,1,0,10,3,0,0,0,1,0,0,1,0,35,0,0,24,454,7,0,7,7,0,7,0,46,3,1,35,150,0,0,1,0
 24-34,0,0,2.46,17.24,0,59.92,0.82,0,13.95,0,0,1.64,0,0.82,0.82,2.46,0.82,0,58.28,0,0,27.91,646.83,2.46,3.28,7.39,0,0,13.13,0,0,0.82,0,4.93,142.83,0,0,13.13,0
 36-46,0,0,0.81,5.64,0.81,182.89,0,0.81,16.92,0,0,0,0.81,0,0,0,0,0,51.56,0,0.81,9.67,460.04,0.81,3.22,0.81,0,0,8.86,0,0.81,0.81,0,0,122.46,0,0,6.45,0
 48-58,0,0,0,2.87,0,173.86,0.57,0.57,25.82,0.57,0,0.57,0.57,0,0,0.57,0.57,0.57,44.76,0.57,1.72,12.05,200.83,0.57,0,0.57,0,0,7.46,0,0,0,0,0,41.89,0,0.57,4.59,2.87
 60-70,0,0,0,10.8,0,159.01,0.98,0,33.37,0.98,0,0,0.98,0,0.98,0.98,0,0.98,42.21,0,3.93,5.89,106,0,0,2.94,0,0,5.89,0,0,0,0,0,12.76,0,0.98,3.93,1.96
 72-82,0,0,0,6.87,0.98,47.12,0.98,0.98,31.41,1.96,0,0,0,0,0,0.98,0,0,52.03,0.98,4.91,5.89,82.46,0.98,0,1.96,0,0.98,1.96,0,0,0,0,0,3.93,0,0,2.94,0
 84-94,0,0,0,5.31,0,59.47,0,4.25,20.18,1.06,0,1.06,2.12,1.06,0,0,0,0,41.42,1.06,5.31,8.5,48.85,1.06,0,3.19,0,0,12.74,0,0,1.06,0,0,3.19,2.12,0,6.37,1.06
 96-106,0,0,0,10.93,2.19,40.44,0,1.09,28.41,2.19,0,0,1.09,2.19,1.09,0,0,0,40.44,0,1.09,5.46,41.53,1.09,0,2.19,0,0,8.74,0,0,0,0,0,1.09,0,1.09,7.65,0
108-118,0,0,0,9.96,0.77,36,1.53,0,20.68,3.06,0,0,2.3,0.77,0.77,0.77,0,0,22.98,0,0,3.06,62.81,0,0.77,0.77,0,0,6.13,0,0,0,0,0,0,0.77,0,2.3,0
120,0,0,0,5.88,3.92,35.28,0,0,21.56,1.96,0,0,3.92,0,1.96,0,0,0,29.4,0,0,7.84,70.55,0,0,5.88,0,0,5.88,0,0,0,0,0,1.96,0,0,5.88,0
