stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,171,0,0,0,1,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,0.82,0,0,1.64,0.82,0,0,0,21.34,0.82,0,0,1.64,0.82,0,0,9.03,40.22,0,0,0,0.82,0,29.55,0,5.75,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,2.42,0.81,0,1.61,0,1.61,0,0,37.87,2.42,0,0.81,0.81,0.81,0,1.61,6.45,14.5,0,0,0,0.81,0,35.45,1.61,3.22,0,0,2.42,0,0
 48-58,0,0,0,1.15,1.15,0,4.59,0,0,0.57,0,1.72,0,0,45.33,2.87,0,0,1.72,1.15,0,0.57,8.03,0.57,0,0,0,0.57,0,28.69,2.87,4.59,0,0,5.74,0,0
 60-70,0,0,0,0,1.96,0,2.94,1.96,0.98,0.98,0.98,13.74,0,0,23.56,4.91,0.98,0.98,1.96,0,0,0,6.87,0.98,0,0.98,0,0.98,0,52.02,2.94,0.98,0,0.98,1.96,0,0
 72-82,0,3.93,0,1.96,1.96,0,16.69,3.93,0.98,0.98,2.94,68.72,0,0.98,33.38,2.94,0,3.93,6.87,0,0,0.98,20.61,0,0.98,1.96,0.98,3.93,0,81.48,4.91,3.93,0.98,0.98,4.91,0,0
 84-94,0,1.06,0,3.19,1.06,0,12.74,11.68,0,0,0,161.43,0,2.12,26.55,3.19,0,35.05,12.74,1.06,1.06,1.06,18.05,0,0,0,1.06,4.25,0,199.66,11.68,3.19,0,5.31,3.19,3.19,0
 96-106,0,8.74,1.09,8.74,7.65,2.19,16.39,26.23,0,2.19,3.28,273.21,0,8.74,38.25,5.46,1.09,66.66,14.21,1.09,0,6.56,53.55,1.09,0,1.09,0,16.39,1.09,194.53,10.93,2.19,0,2.19,6.56,10.93,1.09
108-118,0,6.89,3.83,5.36,3.06,1.53,20.68,32.94,0.77,0,4.6,398.3,0,5.36,21.45,0.77,1.53,125.62,12.26,2.3,0,4.6,42.89,0,0,1.53,0,2.3,0,186.13,16.09,1.53,0.77,2.3,3.06,4.6,0
120,0,1.96,0,13.72,7.84,0,9.8,29.4,0,0,5.88,315.53,0,5.88,33.32,5.88,0,190.1,13.72,0,0,5.88,47.03,1.96,1.96,0,0,5.88,0,131.31,0,1.96,0,0,1.96,9.8,0
