stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,3,0,0,0,1,4,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,22.98,0,0,0,0,9.03,0,0,0
 36-46,0,0,0,0,0,2.42,0.81,0.81,0.81,41.89,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,4.59,1.15,0,2.87,0,35,0,0,0.57,0,4.59,0,0,0.57
 60-70,0,0,0,0,0,0,0,1.96,0,27.48,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,4.91,2.94,0,2.94,0,29.45,0,0,0,0,1.96,0,1.96,0
 84-94,0,1.06,0,0,2.12,1.06,0,4.25,0,14.87,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,1.09,1.09,3.28,0,0,10.93,0,14.21,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,1.53,0.77,0,6.89,0,20.68,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,5.88,0,31.36,0,0,0,0,1.96,0,0,0
