stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,61,6,0,1,0,1,0,2,3,0,2,0,0,0,0,0,0,21,0,0,6,35,1,1,1,1,0,0,4,13,5,14,0,0,0,0
 24-34,0,1.64,11.49,0,0,8.21,0,0,0,3.28,0.82,0,2.46,0,0.82,0,2.46,0,0,20.52,0,0,5.75,129.7,1.64,2.46,4.93,0,0,5.75,0,18.88,0.82,34.48,0,6.57,0,0
 36-46,0,0,4.03,1.61,0,12.09,0,0,0.81,6.45,0,0,1.61,0,0,0,0.81,0.81,0,19.34,0,0.81,4.83,156.3,0.81,6.45,3.22,0,0,1.61,0,12.09,0,30.62,0,1.61,0,0
 48-58,0,0,2.3,0.57,0,34.43,0,1.72,0,18.36,0,0,1.15,0.57,0,0.57,2.87,1.15,0.57,23.53,0,0.57,5.16,183.62,0.57,2.3,5.74,0,0.57,3.44,0,6.31,0,35.58,0.57,4.02,0,0
 60-70,0,0,5.89,0,0,53,0,0,0,28.46,1.96,0,0.98,0,0,0.98,7.85,0,0,38.28,0,0,2.94,177.66,0.98,2.94,15.7,0,0,2.94,0,6.87,0,24.54,0.98,6.87,0,0
 72-82,1.96,0,2.94,3.93,0,70.68,0,0,0.98,39.27,1.96,0.98,1.96,0.98,0.98,0,16.69,0.98,0,50.06,0,1.96,11.78,165.9,0,4.91,37.3,0,0.98,2.94,0,2.94,0,21.6,0,7.85,0,0
 84-94,1.06,0,5.31,1.06,0,45.67,0,0,1.06,21.24,2.12,0,1.06,3.19,1.06,0,24.43,0,1.06,23.36,1.06,3.19,2.12,64.78,0,11.68,55.23,0,0,6.37,0,10.62,0,13.81,1.06,2.12,3.19,0
 96-106,0,3.28,5.46,2.19,1.09,16.39,0,0,0,15.3,2.19,0,0,3.28,1.09,1.09,50.27,0,0,13.11,0,0,2.19,46.99,0,7.65,63.39,0,0,4.37,0,12.02,0,17.49,0,8.74,0,0
108-118,0.77,0.77,3.83,0.77,0,19.15,1.53,3.83,0,20.68,1.53,0,0,1.53,0.77,0.77,27.57,0,0,19.15,0,0.77,1.53,55.92,0,8.43,44.43,0,0.77,3.06,0,6.89,0,6.13,0,3.06,0.77,0.77
120,1.96,1.96,1.96,3.92,0,25.48,0,1.96,0,13.72,3.92,0,0,0,0,0,25.48,0,0,19.6,0,0,3.92,96.03,1.96,1.96,43.12,0,0,1.96,0,7.84,0,7.84,1.96,3.92,1.96,0
