stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,85.81,4174.28,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,5.26,118.29,0,34.17,0,0,0,891.13,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,3598.71,7.89,0,0,136.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,6.29,0,0,0,343.02,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,1038.5,3.15,0,0,34.62,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,1,3,11,3,0,6,0,1,0,3,0,0,0,0,1,0,0,0,0,6,0,0,206,2,3,1,0,0,0,7,0,0,8,137,0,2,0,0
 24-34,0,0,0,0,3.28,0,0,4.93,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,4.93,0,2.46,148.57,0,2.46,4.1,0,0,2.46,0,0,0.82,0.82,56.64,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,15.31,0,0,0,1.61,0,0,0,0,0,0,0,0,0,9.67,0.81,0.81,102.32,0,3.22,0,0,0,1.61,0,0,0,0.81,31.42,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,35.58,0,0.57,1.72,5.16,0,0,0.57,0,0,0.57,0,0,0,13.2,0,2.87,75.17,0,2.87,0,0,0,1.15,0,0,0,0,21.23,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,38.28,0.98,0,0.98,1.96,1.96,0,0,0,0,0.98,0.98,0,0,13.74,0,0,47.11,0,1.96,1.96,0,0,2.94,0,0,0,0,6.87,0,1.96,0,0.98
 72-82,0,0,0,0,0.98,0,0,26.5,0,0,2.94,2.94,0,0,0,0,0,0,0,0,0,14.72,0,0.98,33.38,0,1.96,0.98,0,0,0,0,0.98,0,0,3.93,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,16.99,0,1.06,0,3.19,0,1.06,1.06,1.06,0,0,0,0,1.06,5.31,0,1.06,25.49,0,3.19,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,8.74,0,1.09,0,2.19,3.28,0,0,1.09,0,0,0,0,1.09,16.39,0,1.09,6.56,0,5.46,1.09,0,0,2.19,0,1.09,0,0,1.09,2.19,0,1.09,1.09
108-118,0,0,0,0,1.53,0.77,1.53,12.26,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77,7.66,0,0.77,23.74,0,4.6,2.3,0,0,1.53,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,5.88,0,0,0,1.96,0,0,0,3.92,0,0,0,1.96,0,5.88,0,0,19.6,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
