stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,144.96,3162.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,643.61,9286.4,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.65,79.69,0,0,294.22,79.69,0,0,0,0,0,0,0
  7-9,318.07,368.02,0,575.69,0,0,0,262.87,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,8524.92,812.27,0,0,7213.19,60.46,57.83,0,10.51,0,0,0,0
 10-12,0,336.73,0,840.24,0,31.47,0,308.4,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,8027.92,616.81,0,0,7275.79,34.62,47.2,28.32,755.27,0,44.06,34.62,0
 14-21,2,6,9,72,1560,181,0,15,4,0,189,96,2,0,0,13,0,1,1,1,208,8,0,119,693,245,3,5,470,177,3,1648,12,20,428,2951,34
 24-34,0,0,4.93,28.73,62.39,3.28,0,6.57,0.82,0,114.92,34.48,0,0,0,3.28,0.82,0,1.64,0.82,46.79,0.82,0,11.49,100.97,18.06,0.82,0,0,8.21,0,0,1.64,0.82,68.13,802.8,20.52
 36-46,0,0,2.42,2.42,0,0.81,0,0.81,0.81,0,15.31,12.09,0,0,0,0,0,0,3.22,0,8.06,0,0.81,0,23.36,1.61,0,0,0,1.61,0,0,0,0,0,222.36,0
 48-58,0,0,1.15,0,1.15,0,0,2.3,0,0,3.44,5.16,0,0,0,0,0,0,0.57,0,1.15,0,0,0,8.03,0.57,0,0,0,0,0,0,0,0,0,80.91,1.72
 60-70,0,0,1.96,0,0,0.98,0,1.96,0,0,2.94,5.89,0,0,0,0,0,0,0,0,0.98,0,0,0.98,11.78,0,0,0,0,0,0,0,0,0,0,26.5,0
 72-82,0,0,6.87,0,0.98,0,0,2.94,0,0,19.63,32.39,0,0,0,0,0,0,0,0,3.93,0,0.98,0,15.71,0,0,0,0,0.98,0,0,0,0,0,13.74,0
 84-94,0,0,11.68,0,0,0,0,3.19,1.06,0,12.74,33.99,0,1.06,0,0,0,0,0,0,3.19,0,0,0,5.31,1.06,1.06,0,0,0,0,0,0,0,0,12.74,0
 96-106,0,0,7.65,0,0,0,0,2.19,0,1.09,5.46,50.27,0,0,0,0,0,0,0,0,1.09,0,0,0,6.56,0,0,0,0,3.28,0,0,0,0,0,9.84,0
108-118,0,0,5.36,0,1.53,0,0.77,3.06,0.77,0,9.96,47.49,0,0,0.77,0,0,0,0,0,2.3,0,0,0.77,4.6,0,0,0.77,0,0.77,0,0,0,0,0,4.6,0.77
120,0,0,1.96,0,0,0,0,0,0,0,5.88,35.28,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0
