stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,154,0,3,0,1,0,1,0,1,0,0,1,48,0,0,0,0,0
 24-34,0,0,0.82,4.1,0,4.93,0,0,0,7.39,0.82,0,1.64,0,0,0,0,0,0.82,108.35,0,0,8.21,918.54,0.82,12.31,4.1,0,0,3.28,0,0,0.82,1.64,1.64,172.38,0,0,5.75,0,0
 36-46,0,0,0,0.81,0,26.59,1.61,0,0,74.12,0,0,0.81,0,0,0.81,0,0,0.81,207.86,0,0,8.86,1680.63,0,4.03,2.42,0,0.81,2.42,0.81,0,0,2.42,0,345.63,0,0,7.25,0,0
 48-58,0,0,0,1.15,0,86.07,1.15,0.57,2.3,123.37,0,0,0.57,0.57,0.57,0,0,1.72,0,199.68,0,0.57,6.31,1071.29,0,5.16,1.72,0,0,0.57,0,0,0,1.15,0,255.34,0,0,15.49,0,0.57
 60-70,0,0,0,4.91,0,146.25,0,0,0,139.38,0,0,3.93,2.94,0,0,0,0.98,0,161.95,0,4.91,3.93,1095.38,0,2.94,0,0,2.94,1.96,0,0,1.96,0,0,157.04,0.98,0,17.67,0.98,1.96
 72-82,0,0,1.96,4.91,1.96,79.51,0,0.98,0.98,161.97,0.98,0,5.89,1.96,0,0,0,0.98,0,163.94,0,3.93,4.91,613.54,0,2.94,0.98,0,8.83,1.96,0,0,0,0,0,64.79,0.98,0.98,16.69,0,0
 84-94,0,0,1.06,5.31,0,75.4,0,0,0,84.96,0,0,9.56,2.12,0,1.06,1.06,3.19,0,89.21,1.06,8.5,2.12,277.19,0,1.06,0,0,5.31,0,0,0,0,0,0,38.23,0,2.12,26.55,1.06,1.06
 96-106,0,0,0,6.56,0,51.36,0,0,4.37,124.58,2.19,0,22.95,2.19,1.09,0,0,7.65,0,113.66,0,4.37,5.46,233.87,0,2.19,2.19,0,13.11,7.65,0,0,1.09,0,0,25.14,0,1.09,36.06,0,0
108-118,0,0,0,4.6,0,22.21,0.77,0,0.77,101.11,1.53,0,9.19,3.06,1.53,0,0.77,19.15,0,98.81,0,5.36,1.53,228.26,0,3.83,2.3,0,20.68,3.83,0,0,0,0,0,10.72,1.53,5.36,21.45,0.77,0
120,0,0,0,9.8,1.96,39.2,1.96,0,0,76.43,0,0,13.72,1.96,0,0,1.96,17.64,0,66.63,0,7.84,5.88,190.1,0,0,1.96,0,21.56,5.88,0,0,1.96,0,0,5.88,1.96,3.92,11.76,1.96,0
