stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,1238.19,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,110.41,13.14,0,0,131.44,0,0,0,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0,2752.26,36.8,0,0,930.56,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.53,28.32,0,6.29,84.97,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,2498.69,18.88,0,0,368.2,0,0,0,59.79,0,0,0,0,0,0,0,0
 14-21,0,0,1,547,18,1,0,0,0,8,0,0,8,0,7,0,5,0,1,181,2,0,96,177,1,0,63,0,0,1,6,2,0,3,39,0,0,1,0,0
 24-34,0,0,0,68.95,0,48.43,0,0.82,0,9.03,0,0,0.82,0,0,0.82,36.94,0,9.03,119.84,0,0,64.85,247.9,0,0.82,6.57,0,0,1.64,0,0,1.64,3.28,55,0,0,39.4,0,1.64
 36-46,0,0,0,13.7,0,180.47,0.81,0.81,0,10.47,0,0,0,0,0.81,0,21.75,0,3.22,67.68,0,0,31.42,103.13,0,0.81,3.22,0,1.61,0.81,0.81,0,5.64,0,37.06,0,0,33.03,0.81,4.03
 48-58,0,0,0,20.66,0,97.55,0,0.57,1.15,9.75,0,0,0.57,0,0,0.57,23.53,0,2.3,114.76,0.57,1.72,32.71,52.22,0,0,2.3,0,0,0,0,1.15,3.44,0,10.33,0,0.57,16.64,0,4.02
 60-70,0,0,0,19.63,0,50.06,3.93,0,2.94,15.7,0,0,3.93,2.94,0,0.98,12.76,0,0.98,155.08,0.98,4.91,39.26,38.28,0,0,2.94,0,6.87,0,0,1.96,1.96,0,2.94,0.98,3.93,6.87,1.96,1.96
 72-82,0,0,0,20.61,0,30.43,0,0.98,5.89,21.6,2.94,0,4.91,7.85,1.96,1.96,18.65,0,0,275.85,0.98,11.78,40.25,25.52,0,0,0.98,0,11.78,0,0,0.98,0,0,5.89,1.96,14.72,7.85,3.93,1.96
 84-94,0,0,0,31.86,0,28.68,0,0,1.06,15.93,0,0,6.37,10.62,4.25,1.06,14.87,0,0,156.12,0,10.62,29.74,14.87,0,0,3.19,0,8.5,1.06,0,2.12,2.12,0,1.06,1.06,8.5,5.31,3.19,2.12
 96-106,0,0,0,31.69,0,25.14,0,3.28,3.28,14.21,1.09,0,2.19,9.84,2.19,3.28,8.74,1.09,2.19,162.83,0,14.21,30.6,33.88,0,0,1.09,0,18.58,0,0,0,0,0,8.74,1.09,10.93,7.65,10.93,5.46
108-118,0,0,0,43.66,0,12.26,0,2.3,3.83,16.09,3.83,0,3.83,4.6,2.3,0.77,9.19,0,6.13,153.96,0,11.49,22.21,23.74,0,0,1.53,0,18.38,0.77,0,2.3,1.53,0,3.06,0.77,7.66,2.3,3.06,3.83
120,0,0,0,43.12,0,3.92,1.96,1.96,0,3.92,7.84,0,3.92,5.88,1.96,1.96,5.88,0,3.92,111.71,0,9.8,27.44,33.32,0,0,1.96,0,25.48,0,0,0,0,0,0,0,5.88,0,3.92,1.96
