stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0
 24-34,0.82,0,0.82,0,0,0.82,0.82,1.64,0.82,1.64,0,0.82,18.06,0,0.82,2.46,0,1.64,0.82,4.93,0
 36-46,3.22,0,0,0,0,0,0,1.61,0,1.61,0,0.81,7.25,0,0,0,0,0.81,0,2.42,0
 48-58,0.57,0,1.72,1.15,0,0.57,0,2.3,0,1.15,0,0,2.3,0,0,0,0,0.57,0,1.72,0
 60-70,0,0,0,0,0,1.96,0,0,0,1.96,0.98,0,3.93,0,0,0,0,0.98,0,0.98,0
 72-82,0.98,0,1.96,0,0.98,3.93,0.98,1.96,0,5.89,0,0,2.94,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,1.06,0,2.12,0,3.19,0,0,1.06,0,0,2.12,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0.77,0.77,1.53,0,0,1.53,0,1.53,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0
120,1.96,1.96,1.96,0,0,0,0,1.96,0,7.84,0,0,1.96,0,0,1.96,0,1.96,0,0,0
