stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,immune,mesenchyme,neural,paraxial_mesoderm,periderm
  3-4,0,26.36,0,0,0,0,0,0,0,0,65.89
  5-6,0,24.52,0,0,0,0,0,0,0,0,36.78
  7-9,2.63,0,0,0,0,0,0,0,7.89,5.26,0
 10-12,0,3.15,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,1,1,0,0,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0.77,0,0
120,0,0,0,0,0,0,7.84,1.96,0,0,0
