stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,36.78,306.48,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,18.4,0,0,18.4,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,212.93,21.03,0,0,73.6,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,88.12,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,3,27,1,0,0,1,0,6,1,3,13,0,2,0,0
 24-34,0,0,0,0,5.75,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,7.39,0,0,3.28,45.15,0.82,0,0.82,0,0.82,0,0,0.82,18.06,0,1.64,0,0
 36-46,0,0,0,0,0,0,8.86,0,0.81,2.42,0,0,0.81,0,0,0,0,0,7.25,0,0,0.81,23.36,0,0,0.81,0,0.81,0,0,0,12.09,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,15.49,0,0.57,2.3,0,0,0,0,0,0,0,0,9.75,0,0,0.57,20.08,0.57,0,0,0,0.57,0,0,0,8.61,0,0,0,0.57
 60-70,0,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0.98,0,0,13.74,0,0.98,2.94,11.78,0,0.98,0,0,2.94,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,7.85,0,0.98,0.98,0.98,0,0,0.98,0,0,0.98,0.98,14.72,0,0,0,10.8,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,1.06,1.06,1.06,2.12,0,0,1.06,1.06,0,0,0,6.37,0,1.06,1.06,5.31,0,0,1.06,0,6.37,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,1.09,0,0,2.19,0,0,0,1.09,1.09,1.09,0,0,3.28,0,0,1.09,9.84,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,1.53,1.53,3.83,0,0,0.77,0.77,0,0.77,0,0,0.77,0,0,3.06,0.77,0,0,8.43,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0
