stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,23.8,0,0,0,0.82,0,22.98,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0.81,74.12,0,0,0,0,0.81,37.06,0,0,0,0
 48-58,0,0,0,0,7.46,0,0,0.57,0,0,0,0,0,0,0,0,1.72,0,0.57,105.01,0,0.57,0,0,0,21.23,0,1.15,0,0
 60-70,0,0,0.98,0,15.7,0.98,0.98,1.96,0,0,0,0.98,0,0,0.98,0,1.96,0,0.98,280.72,0,0,0,0.98,0,17.67,0,0,0,0.98
 72-82,0,0,0.98,0,53.99,0,0.98,5.89,2.94,0,0,0,0,0,0,0,13.74,0.98,1.96,429.97,0,0.98,0,0,0,17.67,0,0.98,0,0.98
 84-94,0,1.06,5.31,0,49.92,0,0,5.31,0,0,2.12,0,0,0,0,0,8.5,0,0,251.7,0,1.06,0,1.06,0,13.81,0,1.06,0,1.06
 96-106,0,0,6.56,2.19,46.99,0,0,14.21,2.19,0,2.19,0,0,1.09,0,0,7.65,1.09,1.09,222.94,0,0,0,4.37,0,7.65,0,0,1.09,0
108-118,0,0,6.89,0,32.94,0,0,12.26,0.77,0,0,0,0.77,1.53,0,0.77,8.43,0,0,247.41,0.77,0,0,2.3,0,4.6,0,0,0,0
120,0,0,3.92,0,37.24,0,0,13.72,0,0,0,1.96,0,0,0,0,3.92,0,0,321.4,1.96,0,0,3.92,0,7.84,1.96,0,0,0
