stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,34.17,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,34.17,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,3.15,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,66.09,6.29,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,15,3,11,0,0,0,0,3,0,0,0,1,0,0,17,0,3,119,2,0,0,0,0,0,1,7,1,1,5,9,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,6.57,0,0.82,0,0.82,0,0,0,0,0,0,0,25.45,0,2.46,65.67,0.82,0,0,0,0,0,0,0,0,0,0.82,5.75,0,0,0.82,0,3.28
 36-46,0,0,0,0,2.42,0,3.22,0,3.22,0,0.81,0,0,0,0,0,4.83,0.81,8.86,0,2.42,67.68,0,2.42,2.42,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,16.64,0.57,2.3,1.15,1.72,0,0,0,0.57,0,5.16,0,19.51,0,4.59,109.02,0,0.57,1.15,0,0,0,0,0,0.57,0,0,13.2,0,0,0.57,0,1.15
 60-70,0,0,0,0,2.94,0,35.33,0.98,0,0.98,1.96,0.98,0,0,0,0,0.98,0,12.76,0,2.94,212.99,0,0,0,0,0,0,0.98,0,0,0,0,14.72,0,0.98,0,0.98,0.98
 72-82,0,0,0.98,0,4.91,0,119.76,0,0,0,5.89,0.98,0,2.94,0,1.96,3.93,0,28.47,0.98,3.93,266.03,0,0,1.96,0,0,0.98,0,0,0,0,0,13.74,0,0.98,0,0.98,1.96
 84-94,0,0,3.19,0,6.37,2.12,70.09,0,0,0,6.37,0,0,0,0,1.06,6.37,0,15.93,2.12,4.25,114.7,0,0,3.19,0,0,1.06,0,0,4.25,0,0,6.37,1.06,1.06,1.06,1.06,0
 96-106,0,0,4.37,0,6.56,0,66.66,0,1.09,0,7.65,2.19,0,0,2.19,0,3.28,1.09,19.67,2.19,4.37,124.58,0,1.09,3.28,0,0,2.19,1.09,0,0,0,0,4.37,0,3.28,1.09,0,0
108-118,0,0,0.77,0,6.89,0,49.02,0,1.53,1.53,10.72,0.77,0,0,0,1.53,6.13,0,13.02,0.77,3.83,138.64,0.77,0,3.06,0,0,0,0.77,0,0,0,0,2.3,0.77,1.53,0.77,0.77,0
120,0,0,0,0,3.92,1.96,31.36,0,1.96,1.96,7.84,3.92,0,0,0,0,3.92,1.96,13.72,1.96,11.76,148.94,0,0,1.96,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0
