stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,1,3,0,5,0
 24-34,0,0.82,1.64,0,0,0,0,0,0.82,0,0,1.64,0,0.82,4.93,0,0,9.03,0,0,0.82,0,9.85,0
 36-46,0,2.42,0,0,0,0,0,0,1.61,1.61,0,0.81,0.81,0,7.25,0,0,6.45,0,0,2.42,0,4.03,0
 48-58,0,1.72,0,1.72,0.57,0,0,0,0,1.15,0,0,0,0.57,12.05,0,0.57,8.03,0,0,4.59,0,7.46,0
 60-70,0,0.98,1.96,2.94,0,0,0.98,0,0.98,3.93,0,2.94,0,0,7.85,0,0.98,10.8,0,0,0.98,0,10.8,0
 72-82,0,3.93,0,0.98,0,0,0.98,1.96,0.98,2.94,0,2.94,0.98,0,14.72,0,0,16.69,0,0,0.98,0,11.78,0
 84-94,0,6.37,0,3.19,2.12,1.06,1.06,0,0,11.68,0,4.25,2.12,1.06,5.31,1.06,0,8.5,2.12,0,0,0,8.5,0
 96-106,0,4.37,0,3.28,1.09,0,1.09,0,3.28,20.76,0,5.46,0,0,3.28,0,0,28.41,0,0,0,0,15.3,0
108-118,0,3.83,2.3,0.77,0.77,0,0.77,0.77,1.53,19.92,0.77,0,0,0,5.36,0,0.77,12.26,0,0,0,0.77,16.85,1.53
120,0,5.88,1.96,0,7.84,1.96,1.96,1.96,1.96,27.44,0,5.88,0,0,15.68,0,0,41.16,1.96,0,1.96,0,19.6,0
