stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1805.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,3.15,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,182.52,9.44,0,0,9.44,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,39,19,4,0,0,0,13,2,1,1,0,0,0,0,0,0,30,0,0,18,329,21,2,67,4,0,0,2,10,2,1,7,227,0,0,2,0,0
 24-34,0,0,3.28,0,20.52,4.1,9.85,0,0.82,3.28,13.95,0,0,1.64,0,0.82,0.82,0,0,2.46,71.41,0,0,45.97,861.08,8.21,22.98,4.93,0,0,0,0,1.64,0.82,0,2.46,237.23,0,0,19.7,0,2.46
 36-46,0,0,1.61,0,9.67,0.81,86.21,0,0,5.64,40.28,0,0,8.06,0.81,0,0.81,0,0,9.67,148.24,0.81,4.03,48.34,1824.84,2.42,25.78,5.64,0,0.81,1.61,0,0,0,0,0,409.28,0,0.81,18.53,0,8.06
 48-58,0,0,1.72,0,5.74,0.57,286.33,0,1.15,17.21,70.58,0.57,0,6.31,0,0,1.15,1.15,0,6.31,186.49,0,4.02,25.82,1999.14,1.72,22.38,6.31,0,0.57,1.72,0,0,0,0,0,373.55,0,2.87,17.79,0,8.03
 60-70,0,0,0.98,0,8.83,0.98,776.38,0.98,2.94,17.67,155.08,0,0,3.93,0.98,0.98,3.93,0,0,2.94,305.25,0,11.78,19.63,2683.48,0.98,16.69,9.82,0,1.96,2.94,0,0,0.98,0.98,0,290.53,0,5.89,14.72,1.96,8.83
 72-82,0,0,5.89,0,16.69,4.91,904.11,0,3.93,18.65,245.42,1.96,0,8.83,0,0,4.91,3.93,0,5.89,370.09,1.96,12.76,24.54,2081.12,1.96,35.34,16.69,0,3.93,3.93,0,0,0.98,0,0,170.81,3.93,6.87,29.45,7.85,8.83
 84-94,0,0,4.25,0,29.74,3.19,560.76,0,0,23.36,152.93,5.31,0,6.37,1.06,1.06,6.37,3.19,1.06,6.37,267.63,0,24.43,25.49,1104.52,5.31,40.36,15.93,0,3.19,2.12,0,0,1.06,0,0,95.58,3.19,5.31,29.74,8.5,5.31
 96-106,0,0,4.37,0,30.6,7.65,485.22,0,0,5.46,206.55,8.74,0,6.56,5.46,2.19,2.19,1.09,2.19,1.09,241.52,1.09,21.86,13.11,868.81,5.46,45.9,24.04,0,8.74,7.65,1.09,0,0,0,0,32.79,2.19,13.11,25.14,17.49,10.93
108-118,0.77,0,6.13,0.77,21.45,3.06,407.49,1.53,2.3,8.43,147.06,4.6,0,3.83,1.53,0,13.79,3.06,1.53,1.53,191.49,0,16.09,13.02,1212.52,3.83,31.4,18.38,0,3.83,4.6,0,0,0,0,0,34.47,3.06,9.19,20.68,10.72,4.6
120,0,0,1.96,0,23.52,1.96,217.54,0,7.84,9.8,125.43,3.92,0,3.92,0,0,3.92,0,1.96,3.92,131.31,0,11.76,13.72,926.98,1.96,21.56,13.72,0,7.84,5.88,0,0,1.96,0,0,35.28,0,13.72,15.68,3.92,0
