stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,5.26,0,128.81,0,0,10.51,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,63.09,15.77,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,28.32,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,72.38,18.88,0,0,25.18,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,19,37,6,0,0,0,2,1,0,2,0,0,2,0,0,27,0,0,48,145,1,6,2,2,0,0,0,9,1,1,55,40,0,0,16,0,0
 24-34,0,0,0,0,7.39,5.75,21.34,0,0.82,2.46,9.03,0,0,1.64,2.46,0.82,4.1,0,0.82,61.56,0.82,0,59.1,296.33,3.28,5.75,12.31,0,0,0.82,0,0.82,0.82,0.82,8.21,77.16,0,0,45.97,0,4.93
 36-46,0,0,0,0,4.03,0,15.31,0.81,0,1.61,29.81,0.81,0,1.61,2.42,0,1.61,0.81,7.25,77.34,0,0,36.26,212.7,2.42,4.03,2.42,0.81,0,0,0,0.81,0,0,0,81.37,0,0,36.26,0,3.22
 48-58,0,0,0,0,2.3,0.57,17.79,1.15,0,1.15,65.41,0,0,1.72,5.16,0.57,0,0,6.31,60.25,0,0,12.62,107.3,0.57,1.15,1.15,0,0,0.57,0,0,0,0,0.57,41.89,0,0,22.38,0,10.33
 60-70,0,0,0,0,2.94,0,23.56,0,0,0.98,159.01,0,0,1.96,14.72,0,0,0.98,1.96,65.76,0,0,8.83,121.71,1.96,0,0.98,0,0,0,0,0,0.98,0,0,33.37,0,0,21.59,0,12.76
 72-82,0,0,0.98,0,0.98,1.96,30.43,1.96,0,1.96,198.3,0,0,2.94,14.72,0,2.94,0,3.93,67.73,0,0.98,13.74,100.13,0,0,1.96,0,0,0.98,0,0,0,0,0,14.72,0.98,3.93,53.01,2.94,9.82
 84-94,0,0,1.06,0,2.12,2.12,44.61,1.06,0,1.06,141.25,0,0,0,33.99,0,0,2.12,24.43,70.09,0,5.31,8.5,59.47,1.06,0,2.12,0,0,0,0,0,1.06,0,0,13.81,1.06,0,59.47,5.31,12.74
 96-106,0,0,0,0,3.28,0,34.97,1.09,1.09,0,135.51,0,0,3.28,45.9,1.09,0,0,9.84,76.5,0,3.28,7.65,66.66,3.28,0,5.46,0,0,2.19,0,0,0,0,0,6.56,0,0,56.83,2.19,9.84
108-118,0,0,0.77,0,0,1.53,22.21,0,0,0.77,145.53,0.77,0,2.3,28.34,3.83,0,0.77,21.45,43.66,0,0.77,9.19,83.49,0.77,0,4.6,0,1.53,0.77,0,0,0,1.53,0,3.06,1.53,0,32.94,3.83,17.62
120,0,0,0,0,9.8,3.92,21.56,1.96,1.96,0,135.23,0,0,1.96,29.4,0,0,0,9.8,48.99,0,0,11.76,86.23,0,0,7.84,0,0,0,0,0,0,0,0,7.84,0,0,29.4,3.92,0
