stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0.82,0.82,0,0,61.56,0,0,0,0,0,0,12.31,0,0,0
 36-46,0,0,0,0,0,9.67,0,0,1.61,1.61,0,0,0,89.43,0.81,1.61,0,0,0,0,24.17,0,0,0
 48-58,0,0,0,0.57,0,39.59,0,0,1.15,1.72,0,0,1.15,110.17,0,0.57,0,0,0.57,0,16.64,0,0,0
 60-70,0,0,0,0.98,0,85.39,0,0,4.91,0.98,0,0.98,0,136.43,0,0,0,0,0,0,15.7,0,0,0
 72-82,0,0,0,0.98,0,74.61,0.98,0,5.89,6.87,0,0,0,123.69,0,0.98,0,0,0.98,0,11.78,0,0.98,0
 84-94,0,0,0,2.12,0,67.97,0,0,2.12,3.19,0,0,0,54.16,1.06,0,0,0,0,0,7.43,1.06,0,0
 96-106,0,0,0,1.09,0,40.44,0,0,4.37,1.09,0,0,0,30.6,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,28.34,0,0.77,1.53,2.3,0,0,0,55.15,0,0,0.77,0,0,0,2.3,0,0,0
120,0,0,0,0,0,35.28,0,1.96,1.96,0,0,0,0,88.19,0,0,0,0,1.96,0,5.88,0,0,0
