stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,1,1,0,0,0,0,0,2,33,0,0,1,0,0
 24-34,0,0,0,1.64,0.82,0.82,8.21,0,0,0,0,0,0,0,0,1.64,0,0,0,3.28,0,0,0.82,191.26,0.82,5.75,0,0,1.64,0,0,0,0.82,36.94,0,0,4.1,0,0.82
 36-46,0,0,0,0,2.42,0.81,33.84,0,0,0,0.81,0,0,0,0,0,0.81,0,0,6.45,0,0,1.61,483.4,0,2.42,0.81,0,0,0,0,0,0,79.76,0,0,0.81,0,0.81
 48-58,0,0,0,0,3.44,0,76.32,0.57,1.15,2.87,7.46,0,0,0,0.57,0.57,0.57,1.15,0,14.35,0.57,0,0.57,809.64,1.15,7.46,0,0,0.57,0,0,0.57,0,118.78,0,0,1.15,0,2.87
 60-70,0,0,0,0,1.96,0,92.26,0,0.98,0,8.83,0,0,0,0,0,0.98,0,0.98,18.65,0,0,0.98,1063.97,0,2.94,2.94,0,3.93,0,0,0,0,124.65,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,21.6,2.94,177.68,0,0,2.94,18.65,0.98,0,0,0.98,0,2.94,0.98,0.98,41.23,0,1.96,2.94,1231,0,8.83,6.87,0,3.93,0.98,0,0.98,0,86.39,0,0,3.93,1.96,1.96
 84-94,0,0,0,0,20.18,1.06,137,2.12,2.12,1.06,20.18,1.06,0,0,2.12,2.12,0,0,0,25.49,0,2.12,1.06,653.15,0,8.5,3.19,0,1.06,0,1.06,0,0,38.23,0,1.06,1.06,2.12,1.06
 96-106,0,0,5.46,0,27.32,1.09,109.28,1.09,3.28,0,19.67,1.09,0,1.09,1.09,1.09,1.09,1.09,1.09,25.14,3.28,1.09,1.09,602.16,0,9.84,7.65,0,7.65,1.09,0,0,0,17.49,2.19,1.09,4.37,1.09,1.09
108-118,0,0,1.53,0,8.43,3.83,78.89,0,1.53,1.53,16.85,0.77,0,0,3.06,0.77,2.3,0.77,1.53,21.45,0,0.77,1.53,680.94,0.77,2.3,5.36,0,3.83,0,0,0,0,11.49,0,0,0.77,0,0.77
120,0,0,9.8,0,21.56,0,115.63,0,5.88,0,5.88,3.92,0,0,0,1.96,3.92,1.96,1.96,19.6,0,5.88,1.96,813.31,0,1.96,1.96,0,1.96,0,0,0,0,23.52,0,0,0,0,0
