stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,2,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,0,0,0,0,0,2.46,0,1.64,8.21,0,0.82,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,2.42,0,0,0.81,0,0,15.31,0,0,0,0,0,0,3.22,2.42
 48-58,0,0,0,0,0,0,1.72,0.57,0,0,0.57,0,0,0.57,0,0,15.49,0,0.57,0,0,0.57,0,3.44,0.57
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0.98,0,0,24.54,0.98,0,0,0,0,0,2.94,0.98
 72-82,0,0,0,0,2.94,0,4.91,1.96,0,0,0.98,0,0,1.96,0,0,15.71,0,0.98,0.98,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,3.19,0,0,4.25,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,1.09,0,0,0,1.09,0,1.09,2.19,1.09,0,6.56,0,0,0,0,0,0,0,3.28
108-118,0,0,0,0.77,0.77,0,3.06,0.77,0.77,0.77,0,0.77,0,0,0,0,4.6,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0
