stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,1,0,0,0,0,1,25,0,0,1,0,2,2,5,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0.82,1.64,0.82,20.52,0.82,0,0,0.82,0,0.82,9.03,0
 36-46,0,0,0,0,0.81,4.03,0,0,0,0,0,1.61,0,5.64,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,2.3,0,0,0,0.57,0,0,0.57,0,6.31,0,0,0,0,0,0,1.72,1.15
 60-70,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0.98,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0,2.94,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,2.19,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
