stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,7,0,0,9,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,2,43,0,0,0,1,1,5,0,12,16,0,0
 24-34,5.75,0.82,0,6.57,0,0,0,1.64,0.82,0.82,0,0,0,0.82,0,0,8.21,0,0,2.46,58.28,0.82,0,0.82,0,1.64,0,0,4.93,9.03,0,0
 36-46,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,0,1.61,25.78,0,0,0,0,0.81,0,0,0,3.22,1.61,0
 48-58,2.3,0,0,12.62,0,1.72,0.57,2.87,2.3,0,0.57,0,1.15,0.57,0.57,0,7.46,0,0.57,2.3,25.25,0,0,0,0,4.59,0,0,0,4.02,1.15,0
 60-70,0.98,0,0,2.94,0.98,0,0,1.96,3.93,0,2.94,0.98,0.98,0,1.96,0,2.94,0,0.98,0.98,9.82,0,0,0.98,0,5.89,0,0.98,0,0,0,0
 72-82,1.96,0,0,4.91,0,0.98,1.96,7.85,0.98,0,0,0.98,0,0,0,0,10.8,0,0,1.96,10.8,0.98,0,0.98,0,1.96,0,0,0,0.98,3.93,0
 84-94,1.06,1.06,1.06,1.06,0,0,1.06,1.06,1.06,0,3.19,0,0,1.06,0,1.06,5.31,0,0,3.19,4.25,0,0,0,0,6.37,0,0,0,0,0,0
 96-106,1.09,0,2.19,2.19,0,0,0,2.19,1.09,0,0,0,0,0,0,0,6.56,0,1.09,0,4.37,0,0,0,0,3.28,0,0,0,0,1.09,0
108-118,8.43,2.3,0,8.43,0,3.83,0.77,2.3,3.06,0,3.06,0.77,0.77,1.53,2.3,0,16.09,0,0,2.3,9.96,0.77,0.77,0,0,6.13,0,0.77,0,0,3.06,0.77
120,15.68,11.76,0,5.88,0,3.92,0,1.96,0,1.96,7.84,1.96,0,0,0,0,15.68,1.96,3.92,11.76,21.56,0,1.96,3.92,0,15.68,0,0,0,0,5.88,0
