stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,2,41,6,0,13,0,0,0,8,0,1,2,0,0,0,1,0,0,21,0,0,14,232,6,3,5,5,0,2,26,5,2,36,86,0,0,2,0,0
 24-34,0,0,1.64,54.18,8.21,0,139.55,2.46,7.39,4.93,23.8,0,1.64,0,6.57,5.75,0.82,9.85,5.75,2.46,101.79,5.75,0.82,37.76,1224.72,9.03,8.21,19.7,0,0,41.86,0,8.21,0.82,24.63,272.52,0,0,29.55,0,10.67
 36-46,0,0.81,0,24.17,4.03,0,178.86,2.42,2.42,1.61,31.42,2.42,0,0.81,0.81,1.61,2.42,0.81,2.42,2.42,74.93,0,0.81,20.95,1044.15,5.64,8.06,8.86,0,0,45.92,0,0.81,2.42,0.81,191.75,0,0.81,13.7,0,4.03
 48-58,0,0,0.57,29.84,3.44,0,306.41,4.59,6.31,4.02,68.28,2.3,0,2.3,5.16,1.72,3.44,1.72,2.87,2.3,104.43,0,5.74,18.36,872.76,4.02,5.16,8.61,0,0.57,25.82,0,0.57,0.57,0,141.73,0,0.57,12.62,0,4.02
 60-70,0,0.98,0,79.5,3.93,0,559.47,6.87,14.72,10.8,91.28,19.63,0,0.98,7.85,5.89,12.76,6.87,5.89,1.96,196.3,1.96,13.74,22.58,1166.05,5.89,5.89,16.69,0,0.98,70.67,0,3.93,3.93,0,116.8,3.93,1.96,20.61,3.93,4.91
 72-82,0,4.91,0,29.45,1.96,0,323.95,4.91,4.91,8.83,100.13,15.71,0,0.98,4.91,5.89,3.93,6.87,1.96,0,163.94,1.96,8.83,26.5,653.79,1.96,7.85,18.65,0,0.98,33.38,0,0.98,0,0,41.23,4.91,2.94,18.65,5.89,2.94
 84-94,0,0,0,36.11,3.19,0,217.72,4.25,11.68,4.25,47.79,14.87,1.06,3.19,9.56,10.62,4.25,5.31,6.37,2.12,107.27,3.19,6.37,12.74,277.19,0,4.25,11.68,0,2.12,79.65,0,4.25,1.06,0,19.12,8.5,2.12,13.81,5.31,1.06
 96-106,0,3.28,0,10.93,0,0,57.92,0,0,1.09,22.95,2.19,0,3.28,5.46,2.19,2.19,3.28,0,0,34.97,0,1.09,4.37,124.58,0,3.28,5.46,0,0,24.04,0,1.09,0,0,3.28,5.46,1.09,5.46,3.28,1.09
108-118,0,1.53,0.77,27.57,2.3,0.77,109.53,0,3.83,1.53,23.74,9.96,0,1.53,6.13,3.83,3.06,1.53,3.83,1.53,42.13,0.77,3.83,13.02,217.53,0.77,4.6,6.89,0,0.77,35.23,0,1.53,0.77,0,4.6,3.06,3.83,4.6,0,0.77
120,1.96,5.88,0,50.95,15.68,0,174.42,1.96,13.72,9.8,78.39,7.84,0,0,31.36,9.8,3.92,3.92,7.84,0,68.59,0,0,35.28,517.38,5.88,7.84,11.76,0,5.88,60.75,0,0,0,0,15.68,1.96,1.96,15.68,3.92,1.96
