stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,34.17,2.63,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,40.91,9.44,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,1,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0.82,0,30.37,0,0.82,0,0,0.82,0,7.39,0,0,0
 36-46,0,0,0,0,11.28,0,1.61,0,0,0,0,0,2.42,0,1.61,53.98,0,0.81,0,0,0.81,0,13.7,0,0,0
 48-58,0,0,0.57,0.57,12.62,0.57,4.02,0,0.57,0,0,0,2.87,0,0,32.13,0,0.57,0,0,0,0,9.18,0,0,0
 60-70,0,0,0.98,0,30.43,0,7.85,0,0,0,0.98,0,3.93,0,0.98,53,0,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0,12.76,0,2.94,0,0,0,0,0,4.91,0,0,35.34,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,8.5,0,3.19,0,0,0,0,0,4.25,0,0,11.68,0,0,0,1.06,1.06,0,2.12,0,0,0
 96-106,0,0,0,0,6.56,0,0,0,0,1.09,0,0,3.28,0,0,13.11,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,6.13,0,0,0,0,0,0,0,1.53,0,0.77,13.02,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,7.84,0,1.96,0,0,1.96,0,1.96,0,0,0,17.64,0,0,0,0,0,0,0,0,0,1.96
