stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,1831.73,23720.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027.88,0,0,0,0,0,0,0
  5-6,2439.59,21092.07,0,42.91,0,0,0,0,0,0,128.72,0,0,0,0,784.59,61.3,0,0,245.19,619.09,0,0,0,0,0,0,0
  7-9,328.59,113.03,0,381.16,0,0,73.6,0,0,0,449.51,0,0,0,0,2576.14,212.93,0,0,1566.71,28.92,107.78,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,25.18,0,0,0,34.62,0,0,0,0,267.49,22.03,0,0,50.35,0,81.82,0,9.44,0,0,0,0
 14-21,0,0,0,0,10,8,10,0,1,0,4,2,1,6,1,86,2,0,1,2,2,23,2,0,3,20,0,0
 24-34,0,0,0,0,4.93,0.82,6.57,1.64,0.82,1.64,0,4.1,0,2.46,1.64,64.85,0,0.82,0,0,4.93,2.46,0,0.82,0,9.03,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,0,0.81,0,0,0.81,35.45,0,0,0,0,4.83,5.64,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,1.15,0.57,0,1.15,0,1.15,0,10.9,0,0,0.57,0,0.57,1.15,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,5.89,0,1.96,0,0,0,0,1.96,0,14.72,0,0,0,0,2.94,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,3.19,0,2.12,0,0,1.06,0,2.12,0,3.19,0,0,0,0,11.68,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,0,0,1.09,1.09,0,0,1.09,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0,1.53,0,0,0.77,0,0,0,1.53,0,2.3,0,0,0.77,0,0.77,2.3,0,0,0,0,0.77,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0,1.96,0,0,0,0,0,0
