stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,165.5,12.26,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,12.26,0,0,0,0
  7-9,5.26,2.63,15.77,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,49.95,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,12.59,9.44,0,0,31.47,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0
 24-34,0,0,0,0,0,0,0,6.57,0,0,0,0,0,22.16,0,0,0,0,0,0,9.85,0,1.64
 36-46,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,8.86,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0.57,0.57,1.15,0,0,0,1.15,0.57,5.74,0,0,0,0,0.57,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0.98,5.89,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,3.93,0,11.78,0,0,0,1.96,0,5.89,0,0,1.96,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,0,3.19,0,5.31,0,0,1.06,0,0,3.19,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,8.74,1.09,0,0,3.28,0,3.28,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,6.89,0,0,0,0.77,0,0.77,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
