stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,3,5,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0
 24-34,0,0.82,0,1.64,0.82,5.75,1.64,0.82,0,0.82,0,0,7.39,0,0,2.46,20.52,0.82,0,0,0,0,0,0,0,1.64,5.75,0,0,3.28,0,0
 36-46,0,1.61,0,0.81,0,1.61,0.81,2.42,0,0,0.81,0,4.83,0,0,0,28.2,0,0,0,0,0,0,0,0,0,6.45,0,0,0.81,0,0
 48-58,0,0.57,0,0.57,0,6.89,0,4.59,4.59,0.57,0.57,0,4.02,0,0,1.72,44.76,0,0,0,0,0.57,0,0,0,0,9.75,0,0,0,0,0
 60-70,0,1.96,0,0,0,43.19,0.98,3.93,2.94,0.98,0,0.98,1.96,0,0,1.96,117.78,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,96.2,2.94,1.96,4.91,0.98,0,1.96,11.78,0,0,1.96,103.07,0,0,0,0.98,0,0.98,0,0,0,8.83,0.98,0.98,0,0,0
 84-94,0,1.06,0,2.12,0,62.66,1.06,0,5.31,1.06,1.06,2.12,11.68,0,1.06,1.06,43.54,0,0,0,0,0,0,0,1.06,0,5.31,0,1.06,0,0,0
 96-106,0,3.28,0,3.28,0,88.52,2.19,3.28,5.46,6.56,2.19,2.19,22.95,1.09,0,1.09,43.71,1.09,2.19,0,1.09,1.09,2.19,0,0,0,3.28,0,1.09,1.09,1.09,0
108-118,0,1.53,0,2.3,1.53,50.55,1.53,0.77,6.13,2.3,0,1.53,13.79,0,0,0.77,58.98,0,0.77,0,1.53,0,0,0,0,0,1.53,0,0,1.53,1.53,0.77
120,0,5.88,0,1.96,0,35.28,0,1.96,13.72,0,0,0,11.76,0,0,0,80.35,0,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0
