stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,37.76,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,25.18,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,245,0,0,0,0,0,0,0,0,44,1,0,0,0,3,0,0,0,23,0,0,0,1,2,1,0,1,8,0,1,0
 24-34,0,0,20.52,0,3.28,0,0,0,0,0,0,122.31,0,0,0,0,0,0,0,0.82,18.06,0,0,0,0.82,0,0.82,0,0,7.39,0,8.21,0
 36-46,0,0,0.81,0,1.61,0,0,0,1.61,0,0,159.52,0,0,0,0,2.42,0,0,0,10.47,0,0.81,0,0.81,0,0,0.81,0,3.22,0,4.03,0
 48-58,0,0,0.57,0,4.59,0,0.57,0,1.72,0,0,158.37,0,0,0,0,4.02,0,0,0.57,12.62,0,0.57,0,0.57,0,0,0,0,2.3,0,1.15,0
 60-70,0,0,0,0,3.93,0,0,0,0.98,0,0,183.54,0,0,0,0,1.96,0,0,0,11.78,0,0,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0.98,1.96,0.98,0,0,0.98,0.98,1.96,0,0,278.79,0,0,0,0,2.94,0,0,0.98,9.82,0,0,0,1.96,0,0.98,0,0,0.98,0,6.87,0
 84-94,0,1.06,0,0,3.19,0,0,0,0,1.06,0,362.15,0,0,0,0,1.06,0,0,1.06,3.19,1.06,0,0,1.06,0,0,0,0,0,1.06,8.5,0
 96-106,0,2.19,3.28,0,3.28,0,0,0,2.19,2.19,0,434.95,0,1.09,0,1.09,6.56,1.09,1.09,4.37,14.21,1.09,0,0,5.46,0,0,0,0,0,0,24.04,1.09
108-118,0,0,3.06,0.77,3.83,0.77,0.77,1.53,3.06,1.53,0,343.15,0,0,0.77,0,3.06,0,0,3.06,9.19,0,0,0,0.77,0,0,0,0,0,0,16.09,0
120,0,3.92,3.92,0,0,0,0,0,0,0,0,478.19,0,1.96,0,0,5.88,0,0,0,7.84,0,0,0,1.96,0,0,0,0,1.96,0,11.76,0
