stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,13.77,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0,39.26,0,0.98,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,5.89,0,11.78,0,0.98,0,3.93,0,0,1.96,0,0.98,0,136.45,0,7.85,0,0,0.98,33.38,0,0.98,0,0,0,4.91,0,0,0,1.96,0.98,0,4.91,0,1.96
 84-94,0,1.06,0,6.37,1.06,1.06,23.36,1.06,0,1.06,3.19,2.12,0,2.12,0,0,1.06,451.37,0,6.37,1.06,0,3.19,37.17,1.06,1.06,0,0,0,8.5,0,0,0,0,1.06,1.06,0,2.12,2.12
 96-106,0,1.09,0,36.06,19.67,7.65,68.85,3.28,3.28,2.19,38.25,9.84,3.28,10.93,5.46,3.28,4.37,734.39,0,76.5,2.19,1.09,15.3,252.45,2.19,4.37,8.74,0,5.46,64.48,1.09,1.09,0,3.28,3.28,1.09,16.39,5.46,2.19
108-118,0,3.06,0.77,17.62,9.19,2.3,65.87,1.53,3.83,5.36,19.92,8.43,0,2.3,2.3,2.3,0,1421.63,1.53,59.75,2.3,0.77,6.13,220.6,1.53,2.3,2.3,0,4.6,24.51,0,1.53,1.53,1.53,2.3,1.53,9.96,1.53,3.83
120,0,0,0,5.88,5.88,0,33.32,1.96,1.96,0,3.92,5.88,0,1.96,0,1.96,0,742.76,0,29.4,0,0,3.92,152.86,0,1.96,0,0,0,9.8,0,0,1.96,3.92,1.96,0,3.92,5.88,0
