stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,8,0,0,0,0,2,0,6,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,8.21,0.82,0,0,0.82,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,8.86,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0.57,0,0,0,0,0.57,1.15,0,13.2,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,0,16.69,0,0,0,0,0,0,8.83,0,0.98
 72-82,0,0,0,0,0,0,2.94,3.93,0,0,0,0,0,0.98,0,3.93,0.98,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,1.06,0,2.12,2.12,0,0,0,1.06,0,0,0,4.25,1.06,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,0,2.19,3.28,2.19,1.09,0,0,0,1.09,0,13.11,2.19,0,0,3.28,0,3.28,2.19,0,1.09
108-118,0,0,1.53,0,0,0,1.53,3.06,3.06,0.77,0,2.3,0.77,3.83,0,5.36,0.77,0,0,0.77,0,1.53,1.53,0.77,0
120,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,9.8,0,0,0,1.96,0,0,3.92,0,0
