stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,986.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,13.14,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,286.53,13.14,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,6,1,1,0,0,3,1,0,0,0,0,0,0,2,0,0,3,66,1,1,0,2,0,0,0,10,0,0,3,17,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,14.78,0,0,0.82,0,0,0,0,0.82,0,0,12.31,0.82,0,8.21,111.64,0,0.82,0,0,0,1.64,0,0,0,0.82,2.46,22.16,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,7.25,0.81,0,0.81,0,0,0,0,0,0,0,5.64,0,0,1.61,59.62,0,0.81,0,0,0,1.61,0.81,0.81,0,0,0,15.31,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,25.25,0,0,0,0.57,0,0,0,0,0,0,11.48,0,0.57,2.87,71.73,0,0,0.57,0,0,0,0,0,0,0,0,6.89,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,37.3,0,0,1.96,0.98,0,0,0,0,0,0,16.69,0,0,0.98,65.76,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0.98,0,0,0,0
 72-82,0,0,0,0,0,4.91,68.72,0.98,0.98,4.91,0.98,0,1.96,0,0,0,0,18.65,0,0,5.89,68.72,0,0,1.96,0,0.98,1.96,0,0,0,0,0,3.93,0,0,0.98,0,0.98
 84-94,0,0,0,0,2.12,4.25,35.05,0,2.12,1.06,0,0,0,2.12,0,1.06,0,11.68,0,1.06,3.19,29.74,0,0,0,0,0,1.06,0,0,0,0,0,3.19,0,1.06,2.12,1.06,0
 96-106,0,0,0,0,1.09,1.09,37.16,0,0,4.37,0,0,0,1.09,0,0,1.09,7.65,0,0,1.09,21.86,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0,0,1.53,32.94,0.77,0.77,0.77,0,0,0,0,0,0,0,8.43,0,1.53,3.83,24.51,0,0.77,0,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,1.96,5.88,25.48,0,0,3.92,0,0,1.96,0,0,1.96,1.96,9.8,0,0,0,33.32,0,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0
