stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,1,1,3,0,0,1,0,1,0,0
 24-34,0,0,0.82,0,0,0.82,0,0.82,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,1.96,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
