stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,11,1,0,11,0,0,0,4,1,0,0,0,0,0,0,0,0,7,0,0,1,87,0,6,3,0,0,0,0,0,1,48,0,0,2,0,0
 24-34,0,1.64,1.64,9.85,0.82,0,38.58,0,0.82,0,11.49,0,0,0,0,0.82,0,0.82,0.82,0,25.45,0,0,4.93,788.02,0.82,22.98,13.13,0,0,1.64,0,3.28,0,198.65,0,0,13.13,0,0.82
 36-46,0,0,0,2.42,0,0,483.4,0,0,0.81,43.51,0.81,0,0,1.61,0.81,0.81,0.81,0,0,16.92,0,0,3.22,1929.58,0.81,17.72,10.47,0,0,3.22,0,0.81,0,431.84,0,0,10.47,0,0
 48-58,0,0.57,0,12.62,1.15,0,986.94,0.57,1.72,0.57,110.74,0,0,0,0,0,0.57,0.57,1.72,0.57,46.48,1.15,0.57,10.9,1958.4,1.72,15.49,9.18,0,0,3.44,0.57,0.57,0,409.12,0,0.57,12.62,0,1.15
 60-70,0.98,0.98,0,12.76,0,0,1540.99,0,0,0,105.02,1.96,0,0.98,0.98,0.98,0.98,5.89,0.98,0.98,58.89,0.98,0.98,3.93,1880.6,0.98,6.87,14.72,0,0.98,4.91,0,0.98,0,203.18,2.94,1.96,5.89,0.98,0.98
 72-82,0,5.89,0,23.56,2.94,0,1259.47,2.94,0,2.94,191.42,5.89,0,1.96,0,1.96,0.98,8.83,0,0,76.57,0,3.93,10.8,1285,0.98,9.82,25.52,0,0.98,0.98,0,0,0,89.33,7.85,0.98,15.71,1.96,1.96
 84-94,0,2.12,0,24.43,2.12,0,796.53,2.12,0,1.06,107.27,10.62,0,2.12,2.12,1.06,1.06,18.05,1.06,0,47.79,0,1.06,4.25,604.3,1.06,7.43,21.24,0,0,7.43,0,2.12,0,50.98,24.43,1.06,11.68,1.06,0
 96-106,0,1.09,0,38.25,3.28,0,606.53,0,0,0,116.93,7.65,0,1.09,5.46,2.19,1.09,19.67,1.09,1.09,62.29,3.28,0,6.56,441.51,0,8.74,22.95,0,1.09,1.09,0,2.19,0,25.14,57.92,2.19,19.67,4.37,2.19
108-118,0,0,0,32.94,1.53,1.53,493.28,0,0.77,0,93.45,7.66,0,0.77,0.77,5.36,0.77,21.45,0.77,0.77,36,1.53,0,3.83,504.77,0,9.96,20.68,0,1.53,3.06,0,1.53,0,12.26,73.53,0,11.49,0.77,0
120,0,0,0,21.56,0,1.96,341,0,0,0,78.39,9.8,0,0,0,7.84,0,9.8,0,0,43.12,0,0,1.96,450.75,0,1.96,17.64,0,0,1.96,0,1.96,0,3.92,13.72,0,3.92,0,0
