stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,65.89,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,91.94,980.74,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,6.13,18.39,0,0,0,0,0,0
  7-9,15.77,0,23.66,0,0,18.4,0,0,10.51,0,0,0,0,0,197.15,5.26,78.86,2.63,2.63,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,15.73,0,0,0,0,0,0,0,0,25.18,3.15,25.18,0,3.15,0,0,0,0,0
 14-21,0,0,2,5,1,3,0,1,0,0,0,1,0,0,12,0,0,4,1,1,1,1,7,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,2.46,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,1.61,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
