stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,173.5,7.89,0,92,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,110.14,0,0,28.32,0,0,6.29,0,0,0,0,0
 14-21,1,0,0,2,8,1,2,0,0,1,0,0,0,0,2,0,6,59,1,0,3,0,4,0,7,31,0,1,0
 24-34,0,0,0,0.82,6.57,0.82,1.64,0.82,0.82,1.64,0,0,0,0,10.67,0,4.1,50.89,0.82,0.82,0,0,0,0,8.21,25.45,0,0.82,0
 36-46,0,0,0,0,0.81,0,2.42,0,0.81,0,0,0,0,0.81,3.22,0,5.64,59.62,1.61,1.61,0,0,0,0.81,0,12.89,0,3.22,0.81
 48-58,0,0,0,0,0.57,0,4.59,0,1.72,2.87,0.57,0,0,0,4.59,0.57,1.72,43.04,1.15,1.15,0,0,0,0,0,7.46,0,0.57,0
 60-70,0,0,0,0,0.98,0,6.87,0,0,3.93,0.98,0,0.98,0,3.93,0,0.98,45.15,0,2.94,0,0,0,0,0,3.93,0.98,0.98,0
 72-82,0,0,2.94,0,1.96,0,22.58,0,0.98,9.82,0,0.98,2.94,0,6.87,1.96,0,27.49,0,3.93,0,0,0,0,0,9.82,0,4.91,0
 84-94,0,0,1.06,0,2.12,0,8.5,0,0,2.12,1.06,0,5.31,0,6.37,0,0,23.36,0,3.19,0,0,0,0,0,7.43,0,8.5,0
 96-106,0,0,0,0,3.28,1.09,7.65,1.09,1.09,5.46,1.09,0,5.46,0,4.37,0,1.09,22.95,0,2.19,0,0,0,0,0,0,1.09,8.74,0
108-118,0,0,0.77,0,2.3,0,5.36,0,1.53,9.96,2.3,0,0,0,7.66,0,1.53,32.94,1.53,3.83,0,0,0,0,0,2.3,0,5.36,0
120,0,0,0,0,0,0,5.88,0,0,0,7.84,0,1.96,0,1.96,0,0,23.52,0,3.92,0,1.96,0,1.96,0,3.92,0,11.76,0
