stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,140.98,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,44.69,2.63,0,7.89,0,0,0,0,0
 10-12,0,6.29,6.29,0,9.44,0,0,0,9.44,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,2.46,0,0,1.64,7.39,0,0,0,1.64,0,0.82,2.46,0
 36-46,0,0,0,0.81,1.61,0,0,2.42,4.03,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.87,1.15,0,0,2.87,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,3.93,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,2.94,0.98,2.94,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,2.19,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0.77,2.3,0,0.77,0,1.53,0,0,0,0
120,0,0,0,0,1.96,0,1.96,1.96,3.92,0,0,0,1.96,0,0,0,0
