stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,39.53,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,10,0,0,1,0,0,3,2,57,0,0,0,0,0,0,8,0,4,8,0
 24-34,0,0,0,0,0,3.28,1.64,0,0,0,0,4.1,1.64,59.92,0,1.64,0,0,0,0.82,0,0,0,14.78,0
 36-46,0,0,0,0,0,8.06,3.22,0,0,0,0,4.83,0.81,37.87,0,1.61,0,0,0,0,0,0,0,9.67,0
 48-58,0,0,0,0.57,0,21.23,4.02,0,0,0,0.57,3.44,0,32.13,0,0,0,0,0,0,0,0,0,8.61,0
 60-70,0,0,0,0,0,23.56,6.87,0,0,0,0,2.94,0,26.5,0,0,0.98,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0.98,0.98,18.65,3.93,0,0,0,0,2.94,0,20.61,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,5.31,3.19,0,0,0,0,2.12,0,7.43,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.65,1.09,0,0,0,1.09,1.09,1.09,6.56,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,3.83,1.53,0,0,0.77,0,1.53,0,8.43,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,1.96,0,0,0,0,3.92,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0
