stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,2082.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,55.17,459.72,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,11,4,0,0,0,0,0,1,11,0,2,0,0,0,0,0,0,11,0,0,1,8,0,1,0,0,0,0,1,1,9,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,1.64,0,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,3.28,0,0,0.82,57.46,0,3.28,1.64,0,0,0,0,0.82,6.57,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,4.03,0.81,0,0,0,0,0,0,0,0.81,0,2.42,0,0,5.64,0,0.81,0.81,159.52,1.61,2.42,0,0,0.81,0,0,0,18.53,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,14.92,0,0.57,0,4.59,0,0,0,0,0,0.57,1.15,0,0,2.3,0,0,1.15,236.41,5.16,1.15,2.3,0,0,0,0,0,25.82,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,25.52,0,0,0,5.89,0.98,0,0,0,0,0,4.91,0,0,1.96,0,0,1.96,456.41,3.93,3.93,1.96,0,0,0,0.98,0,44.17,0.98,0,0,0,0.98
 72-82,0,0,0,2.94,0.98,0,52.03,0.98,0.98,0.98,11.78,0.98,0,0,0,0.98,0,5.89,0,0,12.76,0,0,0.98,498.68,0.98,4.91,1.96,0,0,0,0,0,33.38,0,0,0.98,0,0
 84-94,0,0,0,8.5,1.06,0,38.23,0,3.19,2.12,13.81,3.19,0,1.06,1.06,0,1.06,5.31,0,0,7.43,0,0,1.06,287.81,12.74,3.19,2.12,0,0,0,1.06,0,16.99,3.19,0,1.06,1.06,0
 96-106,0,0,0,4.37,1.09,0,31.69,0,1.09,1.09,13.11,3.28,0,0,1.09,1.09,0,2.19,0,1.09,8.74,1.09,0,3.28,272.12,5.46,3.28,6.56,0,1.09,0,0,0,10.93,2.19,0,1.09,1.09,0
108-118,0,0,0,6.13,0,0,45.96,0.77,0.77,0,9.19,0.77,0,0,0,0.77,0,3.83,0.77,0,6.89,0,0.77,3.06,253.53,7.66,1.53,3.06,0,1.53,0,0.77,0,6.89,5.36,0.77,0.77,1.53,0
120,0,0,0,11.76,0,1.96,48.99,0,0,0,11.76,0,0,0,0,0,0,5.88,0,0,5.88,0,0,1.96,376.28,7.84,3.92,3.92,0,1.96,0,0,0,15.68,3.92,0,0,0,0
