stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,3,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,14,0,0,0
 24-34,0,0,1.64,0.82,6.57,0,0,1.64,0,0,0,0,0,0,0.82,0,4.1,0.82,0,0.82,100.97,0.82,0.82,0,0,0,0,0,30.37,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,1.61,0,0,0.81,0,0.81,0,0,0,5.64,0,0,2.42,247.34,0,1.61,0,0,0.81,0,0,31.42,0,0,0.81
 48-58,0,0,0.57,0,1.15,0,0,9.18,0.57,0,1.15,0,1.15,0,0,0,5.74,0,0,1.15,195.67,0,0,1.15,0,0,0,0,30.41,0,0.57,0
 60-70,0,0,0,0,3.93,0,0,20.61,0,0,1.96,0,0.98,0,0,0,2.94,0,0.98,1.96,372.98,0,0,0,0,0,0,0.98,18.65,0,0,0
 72-82,0,0,0.98,0,5.89,0,0,54.97,0,0.98,4.91,2.94,1.96,0.98,0,0.98,5.89,1.96,0,0,350.45,0,0,2.94,0,0.98,0.98,0,14.72,0.98,0,0.98
 84-94,0,0,2.12,0,5.31,0,0,24.43,0,0,4.25,3.19,0,0,0,0,1.06,0,1.06,0,159.31,0,0,1.06,0,0,0,0,5.31,2.12,0,0
 96-106,0,0,3.28,0,3.28,3.28,0,25.14,0,0,7.65,5.46,0,0,0,1.09,4.37,1.09,0,0,143.16,0,0,0,0,2.19,1.09,0,2.19,3.28,0,1.09
108-118,0,0,0.77,0,3.83,0,0.77,21.45,0,0,8.43,1.53,0,0,0,0.77,0,0.77,0,0,161.62,0,0,0,0,3.06,0,0,1.53,3.83,0.77,0.77
120,0,0,1.96,0,3.92,0,0,27.44,0,0,5.88,1.96,0,0,0,0,0,0,0,1.96,239.09,1.96,0,0,0,0,0,0,0,1.96,0,0
