stage,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,3.28,0,0,0,4.93,0,3.28,0,0.82,1.64,0,0,0,0,0,4.1,0,0,3.28,0,0
 36-46,0,0,0.81,0,0,0,4.83,0,5.64,0,0.81,3.22,0,0,0,0,0,4.03,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0.57,9.75,0,10.33,0,0.57,1.72,0,2.3,0,0,0,7.46,0,0,2.3,0,0
 60-70,0,0,0,0,0,3.93,16.69,0.98,29.45,0,0,1.96,0,0,0,0,0,0.98,0,0,4.91,0,0
 72-82,0,0,1.96,0.98,0,0,24.54,1.96,38.28,0,2.94,2.94,0,2.94,0,0,0,3.93,0,0.98,13.74,0.98,0
 84-94,0,0,1.06,0,0,1.06,35.05,5.31,23.36,1.06,0,1.06,0,1.06,0,0,0,2.12,0,0,10.62,0,0
 96-106,0,0,1.09,1.09,0,4.37,41.53,5.46,39.34,1.09,0,4.37,0,1.09,0,0,0,5.46,0,0,17.49,2.19,1.09
108-118,2.3,0,2.3,0.77,0.77,0.77,36,2.3,34.47,0,0.77,2.3,0,1.53,0,0.77,0.77,3.83,0,0,7.66,0,0.77
120,1.96,3.92,0,1.96,0,1.96,131.31,3.92,66.63,5.88,0,7.84,1.96,3.92,0,0,0,0,1.96,0,13.72,0,1.96
