stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,55.17,1213.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,42.91,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,28.92,0,0,63.09,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,404.82,18.4,0,0,120.92,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,37.76,0,3.15,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.2,9.44,0,0,47.2,0,0,3.15,18.88,6.29,0,0,0,0,0,0
 14-21,0,0,0,12,2,4,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,7,104,2,1,1,3,0,1,12,0,7,39,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,18.06,0,0,0.82,1.64,0,0,0,0.82,0.82,0.82,0,0,12.31,0,0.82,4.1,160.89,0,0,2.46,0,0,2.46,0,0,0.82,29.55,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,28.2,0,0,0.81,3.22,1.61,0,0,0,0.81,0,0.81,0,6.45,0,0.81,4.83,89.43,0,0,0.81,0,0,0.81,0,0,0,17.72,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,35.58,0.57,0,0,10.33,0.57,0,0,1.15,0,0,0.57,0.57,18.36,0,0,2.3,49.35,0,0,0,0,0,1.72,0,0,0,12.62,0,0,1.15,0,0
 60-70,0,0,0,0,0,40.24,0,0,0.98,19.63,0.98,0,0,0,0,0,0,0,17.67,0,0,2.94,47.11,0.98,0.98,0.98,0,0,0,0,0,0,9.82,0,2.94,0.98,0,0.98
 72-82,0,0,0,0.98,0,32.39,0,0,0,12.76,0,0,1.96,1.96,0.98,0,0.98,0,20.61,0,0,2.94,43.19,0.98,0.98,0.98,0,0,0,0,0,0,1.96,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,8.5,1.06,22.3,0,0,1.06,12.74,0,0,1.06,1.06,0,0,0,0,15.93,0,0,3.19,26.55,0,0,0,0,0,2.12,0,1.06,0,0,0,1.06,3.19,0,0
 96-106,0,0,0,4.37,0,9.84,0,1.09,1.09,2.19,1.09,0,1.09,0,0,0,0,0,12.02,0,0,2.19,20.76,0,0,0,0,0,3.28,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,0,4.6,0,12.26,0,0.77,0.77,9.19,0.77,0,0.77,0.77,0.77,0.77,0.77,0,16.09,0.77,0,0.77,24.51,0,1.53,0.77,0,0,1.53,0,0,0,1.53,0,0.77,0.77,0.77,0
120,0,0,0,1.96,0,21.56,0,1.96,3.92,1.96,0,0,1.96,1.96,0,0,1.96,0,3.92,1.96,0,3.92,23.52,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0
