stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,1,15,0,1,0,0
 24-34,0,0,0,0,1.64,0,11.49,0,0,3.28,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,259.39,9.85,0,0,0.82,0,76.34,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,66.87,0,1.61,16.11,0,0.81,0,0,0,0.81,0,0,4.83,0,0.81,0.81,642.12,16.11,0.81,0,2.42,0,169.19,0,1.61,0,0
 48-58,0,0,0.57,0,0.57,0,143.45,0,1.15,49.35,0,0.57,0.57,0,0,0,0,0.57,6.89,0.57,0.57,1.72,668.48,7.46,0,0,0.57,0,175.01,0,2.87,0,1.15
 60-70,0,0,0.98,0,0.98,0,200.23,0.98,0,70.67,0,0.98,0.98,0,0,0.98,0,0,12.76,0,0,0,596.77,4.91,0.98,0,3.93,0,124.65,0,0.98,0.98,0.98
 72-82,0,0,2.94,0,3.93,0,201.24,0,0,85.4,0.98,0,1.96,0,0.98,0.98,0,0.98,16.69,0,0,1.96,596.85,9.82,0.98,0,2.94,0,83.44,0.98,4.91,0,0.98
 84-94,0,0,1.06,0,2.12,2.12,117.89,0,1.06,53.1,0,0,3.19,0,0,2.12,0,1.06,12.74,1.06,0,1.06,226.21,9.56,0,0,8.5,0,50.98,0,3.19,0,0
 96-106,0,0,0,0,3.28,1.09,81.96,0,0,42.62,0,1.09,0,1.09,0,2.19,0,0,14.21,1.09,1.09,2.19,219.66,9.84,2.19,0,5.46,0,15.3,0,3.28,1.09,1.09
108-118,0,0,0,0,3.83,0.77,68.17,0,0,29.87,0.77,0,1.53,0,0,0,0.77,0,7.66,0,0,1.53,195.32,4.6,0,0,6.13,0,7.66,0.77,6.13,0,0
120,1.96,0,0,0,1.96,0,48.99,0,0,25.48,1.96,0,5.88,0,0,0,1.96,0,1.96,0,0,0,127.39,5.88,1.96,0,1.96,0,11.76,0,0,0,0
