stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 36-46,0,0,29.81,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0
 48-58,1.15,0,126.81,0,0,0,2.87,0,0,0.57,0,0.57,2.3,0.57,0.57,13.77,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,212.01,0,0,0.98,1.96,0,0,0,0,0,3.93,0,0.98,32.39,0,0,1.96,0,0,3.93,0,0,0.98
 72-82,2.94,0,138.41,0.98,0.98,0,5.89,0,0,0,0.98,0,8.83,0.98,0,22.58,0,0,0,1.96,0,1.96,0,0.98,0.98
 84-94,5.31,0,109.39,0,0,2.12,6.37,0,0,2.12,0,0,8.5,0,0,23.36,0,1.06,0,0,0,1.06,0,1.06,0
 96-106,2.19,1.09,120.21,0,0,0,4.37,1.09,1.09,0,0,1.09,12.02,0,0,9.84,0,1.09,0,2.19,0,1.09,0,0,0
108-118,1.53,1.53,146.3,0,0,0.77,3.06,0,0,0,0,1.53,9.19,0,0.77,11.49,0,0,0,1.53,0.77,1.53,0.77,0,0
120,3.92,0,105.83,0,1.96,1.96,5.88,0,0,0,0,0,9.8,0,1.96,19.6,1.96,0,0,1.96,0,0,0,0,0
