stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,16.42,0.82,0,0.82,0,10.67,0.82,0.82,2.46,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0,49.15,0,0,0.81,0,4.83,0,0,4.03,0.81,0,0
 48-58,0,0,0,0.57,3.44,0,0,0,0,0.57,0,0,0,0,2.3,0,0,101.56,0,0.57,1.15,0,2.87,0,0,5.74,0,0,0.57
 60-70,0,0,0.98,0,14.72,0,0,5.89,0.98,0,0,0,0,0,1.96,0,1.96,281.7,0,0,0.98,0,0,0,0,13.74,0.98,0,0
 72-82,0,0,2.94,0,60.86,0,0,2.94,1.96,0,0,0,0,0,11.78,0,2.94,381.87,0,0.98,3.93,0,1.96,0,0,7.85,0,0,0
 84-94,0,0,4.25,0,43.54,1.06,0,4.25,1.06,1.06,0,0,0,0,8.5,0,2.12,260.2,1.06,1.06,5.31,0,1.06,0,0,4.25,0,1.06,0
 96-106,0,0,3.28,1.09,51.36,3.28,0,3.28,4.37,0,0,0,2.19,1.09,4.37,0,0,224.03,0,1.09,5.46,0,3.28,0,0,5.46,0,1.09,1.09
108-118,0,0,4.6,0.77,45.96,0.77,0,6.13,1.53,0,0,0.77,0,0,3.06,1.53,0.77,268.85,0,0.77,9.19,0,0,0,0,3.83,0,0,0
120,0,0,3.92,0,45.08,3.92,1.96,7.84,0,0,0,0,0,0,5.88,0,3.92,323.36,0,3.92,7.84,0,0,0,0,13.72,0,0,0
