stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,253.64,0,1.64,0,0,0.82,0,0,0,0,20.52,0,0,0.82
 36-46,0,0,0.81,0,0,0,4.83,0,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,852.4,0,2.42,0,0,0,0.81,0,1.61,0,37.87,0,0,0
 48-58,0,0,0,0,3.44,0,33.28,0.57,0,0,5.16,0.57,0,1.15,0,0,0,0,0,1.15,6.31,0,0,0,1402.95,0.57,2.3,0.57,0,0,1.15,0,1.15,0,59.1,0,0.57,0
 60-70,0,0,0.98,0,2.94,0,43.19,0,0,1.96,6.87,0,0,0,1.96,0,0,0,0,0,6.87,0,0,1.96,2084.75,0.98,1.96,0,0,0,0,0,2.94,0.98,64.78,0,0.98,1.96
 72-82,0,0,0.98,0,6.87,0.98,82.46,0,0,0.98,19.63,0.98,0,1.96,0,0.98,0.98,0,0,0.98,24.54,0,0,2.94,1802.33,0,0.98,0,0,0,1.96,0,1.96,0,51.05,0.98,1.96,0.98
 84-94,0,0,1.06,0,6.37,2.12,97.71,0,0,1.06,18.05,0,1.06,1.06,0,1.06,1.06,0,0,0,18.05,0,0,2.12,799.71,0,1.06,0,0,0,0,0,0,0,22.3,0,2.12,1.06
 96-106,0,0,0,0,6.56,1.09,44.81,0,0,1.09,16.39,0,0,2.19,1.09,0,0,1.09,3.28,0,15.3,0,1.09,1.09,673.19,0,1.09,1.09,0,0,3.28,0,4.37,0,12.02,1.09,1.09,1.09
108-118,0,0,1.53,0,8.43,0,40.6,0,0,0,3.83,0,0,0,0.77,0,0.77,0.77,1.53,0,11.49,0.77,0.77,1.53,750.64,0,0.77,2.3,0,0,0.77,0,0.77,0,6.89,0.77,0.77,0
120,0,0,0,0,3.92,3.92,27.44,0,1.96,0,9.8,0,0,1.96,3.92,0,0,0,0,0,11.76,0,0,1.96,797.63,0,0,0,0,0,0,1.96,0,0,15.68,0,0,0
