stage,axial,blastomeres,erythrocytes,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,15.77,7.89,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,3,0,0,1,0,0
 24-34,0,0,0.82,1.64,0,0.82,3.28,0,0,0,0,0
 36-46,0,0,0,1.61,0,1.61,3.22,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,2.3,0,0.77,0,0,0.77
120,0,0,1.96,0,0,0,3.92,0,0,0,0,0
