stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,mucous,neural,olfactory,periderm,slow_muscle,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,4.1,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,4.83,0,0,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,2.87,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,52.02,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,206.15,0,0,0,0,0.98,0.98,0,6.87,0,0,0,0
 84-94,0,0,1.06,201.79,0,0,1.06,0,0,0,0,2.12,0,0,0,0
 96-106,0,4.37,0,323.48,2.19,0,0,1.09,0,2.19,1.09,2.19,1.09,2.19,1.09,1.09
108-118,0,0.77,0,250.47,0,1.53,0,0.77,0,1.53,0,3.06,0.77,1.53,0,0.77
120,0,1.96,0,288.09,1.96,0,0,0,0,0,0,9.8,0,0,0,1.96
