stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,4.93,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,8.86,0,2.42,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,24.1,0,0,0.57,0,0,0,0,0.57,0,0.57,13.2,0,1.15,0.57,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,106,1.96,0.98,0,0,0,0,0,0,0,0,45.15,1.96,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,128.6,0,0,0,0,0,0.98,0,0.98,0,0,93.26,0,0.98,0,0,0,0.98,0,3.93,0
 84-94,0,0,0,1.06,0,114.7,1.06,0,0,1.06,0,0,0,1.06,0,0,40.36,1.06,1.06,1.06,0,0,1.06,0,3.19,1.06
 96-106,0,1.09,0,2.19,0,61.2,1.09,0,0,0,1.09,2.19,0,5.46,0,0,34.97,0,1.09,2.19,0,2.19,0,1.09,1.09,0
108-118,0,0,0,1.53,0,49.02,0.77,0,0,0.77,0,2.3,0,3.06,0,0,56.68,0.77,0.77,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,35.28,0,0,0,0,0,0,1.96,5.88,1.96,1.96,45.08,0,0,1.96,0,0,0,0,0,0
