stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,4348.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,925.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,2.63,0,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,44.69,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,12.59,0,6.29,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,204.55,12.59,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,39,9,0,8,0,2,0,1,2,0,3,1,7,0,0,0,1,14,0,0,12,113,6,2,6,2,0,5,0,6,3,10,25,0,0,0,0,1
 24-34,0,0,2.46,1.64,17.24,0.82,0,35.3,0,5.75,0.82,4.1,1.64,0.82,0.82,4.1,17.24,0.82,0.82,1.64,2.46,46.79,2.46,0,18.06,236.41,0.82,17.24,4.93,0,0.82,19.7,0,0,2.46,1.64,42.68,0,0,3.28,0,0.82
 36-46,0,0,0,0,7.25,0,0,73.32,0,3.22,2.42,22.56,1.61,0,0,7.25,5.64,0.81,2.42,0,2.42,64.45,0.81,1.61,14.5,203.83,3.22,12.89,1.61,0,0.81,15.31,0,0,0,0,36.26,0,0,2.42,0.81,5.64
 48-58,0,0,0,0,10.9,0,0,92.96,0.57,1.72,1.72,34.43,0.57,0,1.15,10.9,2.3,2.3,3.44,0,3.44,64.27,2.3,2.3,15.49,152.06,1.72,9.75,3.44,0,1.15,9.75,0,0,0.57,0,30.99,0,0.57,2.87,0,8.61
 60-70,0,0,0.98,0,10.8,0.98,0,116.8,0.98,1.96,2.94,48.09,1.96,0,0.98,8.83,3.93,2.94,1.96,0,2.94,86.37,2.94,1.96,4.91,151.15,1.96,12.76,7.85,0,0,8.83,0,0,0.98,0,17.67,0,4.91,5.89,2.94,3.93
 72-82,0,0,3.93,0,12.76,0.98,0,92.28,0.98,2.94,2.94,56.94,7.85,0,1.96,21.6,2.94,0.98,8.83,0.98,0.98,138.41,1.96,6.87,8.83,171.79,0,19.63,9.82,0,0,17.67,0,0,2.94,0,9.82,1.96,0.98,6.87,6.87,5.89
 84-94,0,0,5.31,0,28.68,2.12,1.06,87.09,0,5.31,5.31,40.36,11.68,1.06,0,35.05,8.5,3.19,3.19,3.19,3.19,63.72,6.37,3.19,6.37,94.52,1.06,13.81,13.81,0,1.06,54.16,0,0,3.19,0,5.31,7.43,3.19,3.19,2.12,1.06
 96-106,0,0,1.09,0,29.51,2.19,0,61.2,1.09,5.46,1.09,44.81,13.11,0,1.09,31.69,9.84,1.09,9.84,4.37,3.28,59.01,5.46,4.37,9.84,71.04,4.37,21.86,16.39,0,0,50.27,0,0,2.19,0,4.37,10.93,1.09,5.46,6.56,6.56
108-118,0,0,4.6,0,26.81,1.53,0,51.32,1.53,6.13,3.83,39.06,15.32,0,1.53,33.7,8.43,12.26,4.6,2.3,1.53,57.45,3.06,0,3.83,109.53,3.06,16.85,9.96,0,2.3,42.13,0,0,3.06,0,2.3,8.43,0.77,1.53,0.77,3.06
120,0,0,0,0,17.64,5.88,0,35.28,3.92,1.96,1.96,15.68,5.88,0,0,50.95,1.96,1.96,3.92,3.92,0,35.28,0,3.92,1.96,90.15,1.96,13.72,5.88,0,0,39.2,0,0,0,0,1.96,1.96,1.96,3.92,0,0
