stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1035.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,15.77,0,28.92,0,0,86.75,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,601.98,34.17,0,0,302.3,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,28.32,0,6.29,59.79,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,380.78,9.44,0,0,207.7,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,3,17,0,7,0,0,0,4,2,0,1,0,0,1,0,0,0,11,0,0,4,120,1,2,1,7,0,4,1,18,1,0,15,51,0,2,0,0
 24-34,0,0,0.82,0.82,8.21,1.64,22.98,0,0.82,0,3.28,0.82,0,0.82,0.82,0.82,0,0,0,0.82,21.34,0,0,8.21,265.14,1.64,3.28,3.28,0,0,4.93,0,0,0.82,0,5.75,64.85,0,4.93,0,0.82
 36-46,0,0,0,0,1.61,0.81,52.37,0,0.81,1.61,6.45,0.81,0,3.22,0,0.81,0,0.81,0,0,18.53,0,0.81,6.45,175.64,0.81,4.03,0.81,0,0,5.64,0,0,0.81,0,0,49.15,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,56.23,0,0,0.57,10.9,0,0,0.57,1.15,0.57,0,0,0,0,25.25,0.57,2.3,1.72,111.89,0,1.72,0.57,0,0,6.31,0,0,0,0,0,22.95,0,0.57,0,1.15
 60-70,0,0,0,0,2.94,0,85.39,0,0.98,0.98,12.76,0,0,0.98,0,0,0,1.96,0,0.98,27.48,0,0,2.94,106,0,0,0.98,0,0,2.94,0,0,0,0.98,0,21.59,0,2.94,0,0
 72-82,0,0,1.96,0,3.93,1.96,84.42,0,0,0.98,24.54,1.96,0,0,0.98,1.96,0,0.98,0,0,37.3,0,0.98,1.96,96.2,1.96,0,1.96,0,0.98,1.96,0.98,0,0,0,0,13.74,0.98,3.93,2.94,0.98
 84-94,0,0,1.06,0,4.25,0,41.42,0,0,3.19,8.5,1.06,0,0,2.12,1.06,0,0,0,0,19.12,0,2.12,3.19,66.91,1.06,4.25,4.25,0,0,10.62,0,0,0,0,0,5.31,0,1.06,0,1.06
 96-106,0,0,1.09,0,8.74,0,41.53,0,0,2.19,17.49,3.28,0,1.09,2.19,0,2.19,1.09,0,0,41.53,0,0,6.56,54.64,1.09,0,3.28,0,0,13.11,0,0,0,0,0,2.19,0,2.19,1.09,1.09
108-118,0,0,1.53,0,8.43,1.53,29.11,0,1.53,2.3,14.55,1.53,0,0,5.36,1.53,1.53,1.53,0.77,0,33.7,0,0.77,6.13,69.7,0.77,0.77,2.3,0,0.77,3.06,0,0,0,0,0,1.53,0.77,5.36,0.77,0.77
120,0,0,0,0,7.84,1.96,23.52,1.96,0,1.96,19.6,1.96,0,0,0,1.96,1.96,0,0,0,15.68,0,3.92,3.92,41.16,0,1.96,7.84,0,0,13.72,0,0,0,0,0,3.92,0,3.92,0,1.96
