stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,3,15,0,0,1,1,0,1,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,1.64,0.82,0.82,0,2.46,2.46,0,1.64,4.93,13.13,0,0,0.82,0.82,0.82,4.1,0,1.64
 36-46,0,0,0,0,0,0,0,0.81,0,1.61,0,0,5.64,0,0.81,17.72,15.31,0,0,0,0,0,1.61,0,4.03
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,1.15,0,0.57,8.03,0,0.57,9.75,9.18,0,0,1.15,1.15,0,0.57,0,10.9
 60-70,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0.98,10.8,0.98,0,13.74,5.89,0,0.98,0,1.96,0,3.93,0,8.83
 72-82,0,0,0,0,1.96,0.98,0.98,3.93,0,0.98,0,2.94,17.67,0,0.98,6.87,6.87,0,0,0.98,1.96,0,0.98,0,37.3
 84-94,0,0,2.12,0,2.12,0,3.19,2.12,0,0,0,1.06,13.81,0,0,3.19,8.5,0,0,0,1.06,0,0,0,38.23
 96-106,0,0,0,0,1.09,0,4.37,0,0,0,1.09,1.09,8.74,0,0,9.84,5.46,0,0,0,0,0,0,0,57.92
108-118,0.77,0,2.3,0,1.53,0.77,12.26,0,0.77,0,0.77,5.36,15.32,0,0,4.6,8.43,0.77,0,0,2.3,0,0,0,47.49
120,0,0,3.92,0,0,0,9.8,0,1.96,0,0,1.96,11.76,0,0,9.8,13.72,1.96,0,1.96,5.88,0,0,1.96,56.83
