stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,somites,spinal_cord,taste,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,8,0,0
 24-34,0,0,0,3.28,0,0,0,0.82,0,0,0,2.46,0,0,74.7,0,1.64,0,0.82,18.06,0,0
 36-46,0,0,0,4.83,0,0,3.22,0,0,0,0.81,2.42,0,2.42,152.27,0,0.81,0,0,29.81,0,0
 48-58,0,0,0,21.23,0,0,4.02,0,0,0,0,3.44,0,0,132.55,0,0,0,0,26.4,0,1.15
 60-70,0,0,0,47.11,0,0,2.94,0,0,0,0,3.93,0,0.98,203.18,0.98,0.98,0,0,27.48,0,0
 72-82,0,0.98,0,36.32,0,0,8.83,0,0,0,0,0,0,0,134.49,0,0.98,0,0,7.85,0,0
 84-94,0,0,1.06,24.43,1.06,1.06,3.19,0,0,0,0,1.06,0,1.06,83.9,0,2.12,0,0,10.62,0,2.12
 96-106,0,0,0,14.21,0,0,2.19,0,1.09,1.09,0,4.37,0,1.09,41.53,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0,11.49,0,0,5.36,0,0,0,0,3.06,0.77,0,56.68,0,0,0,0,0.77,0.77,0.77
120,0,0,0,15.68,0,0,3.92,0,0,0,0,0,0,0,62.71,0,1.96,1.96,0,0,0,0
